Dx/Px Description (HAMDCT),count
Abnormal shadow on CXR (793.1:1),13
"Chorioamnionitis, delivered (658.41:2)",13
DRESS syndrome (288.3:3),13
Pulmonary secondary (197.0:999),13
Alcohol dependence syndrome (303.90:0),13
Peptic ulcer (533.90:0),13
Acute gastritis w hemorrhage (535.01:0),13
Ventriculitis of brain (322.9:9),13
Cancer of anal canal (154.2:0),12
Waldenstrom's macroglobulinaemia (273.3:1),12
Infection of generator site (996.61:1),12
Bleeding esoph varix d/t liver dis (573.9:2),12
"Cancer breast, female lower-outer (174.5:0)",12
Endocarditis (424.90:0),12
Chronic hepatitis C infection (070.54:0),12
Backache (724.5:0),12
Burn of multiple sites in trunk (942.09:0),12
Cancer of stomach (151.8:0),12
Obturator hernia (553.8:3),12
Subdural h'mage mod coma (852.23:0),12
Retention of urine (788.20:0),12
Diverticulosis of colon (562.10:0),12
Staph aureus sepsis (038.1:5),12
Cancer connect+ soft tissue LL (171.3:0),12
Gastric bleeding (578.9:3),12
Interstitial lung disea w fibrosis (516.3:2),12
Aortic aneurysm (441.9:0),12
Drowning (994.1:1),12
Pulmonary Fibrosis (515:1),12
Staphylo aureus infection (041.11:0),12
Cancer connect/ soft tissue pelvis (171.6:0),12
Renal haemorrhage (593.81:1),12
Nausea and vomiting (787.01:0),12
Pneumonia streptococcus A (482.31:0),12
Acute suppurative cholecystitis (575.0:4),12
Ovarian cyst (620.2:0),12
Placenta accret w PPH delivery epi (666.02:1),12
Dental abscess (522.5:1),12
Toxic shock syndrome (040.89:1),12
Mental& beha by acute alco intoxic (303.00:7),12
Pathological # NOF (733.14:0),12
Chronic cholecystitis (575.11:0),12
Blocking left nephrostomy tube (996.39:14),12
"Hemoperitoneum, torn mesentery (568.81:1)",12
Cytomegaloviral colitis (078.5:6),12
Supracondylar # femur - closed (821.23:0),12
Scrotal abscess (608.4:2),12
"Traumatic SAH, LOC > 24hr (852.04:0)",11
"OA knee, primary (715.16:1)",11
Avascular necrosis of hip (733.42:2),11
Herpes zoster ophthalmicus (053.20:1),11
Fracture patella - closed (822.0:0),11
Chronic peptic ulcer w hemorrhage (533.40:0),11
Duodenal diverticulum (562.00:2),11
Thoracoabdominal aortic aneurysm (441.7:0),11
Cancer of peritoneum (158.9:0),11
"Aortic Aneurysm, rupture (441.5:0)",11
"Delivered, failed induct of labor (659.11:800)",11
Citrobacter infection (041.85:11),11
Contusion of hip (924.01:0),11
Faecal Impaction (560.39:2),11
Cancer stomach greater curve (151.6:0),11
Tumour lysis syndrome (277.8:6),11
Small Bowel Obstruction (560.9:9),11
Serratia septicemia (038.44:0),11
Cancer of bronchus or lung (162.8:0),11
Infective spondylopathy (730.98:2),11
Pulmonary TB by histology (011.95:0),11
Rheumatic tricuspid insufficiency (397.0:3),11
Acute endophthalmitis (360.01:0),11
Cancer of tongue (141.9:0),11
"# tibia & fibula, closed (823.82:0)",11
Hepatorenal syndrome (572.4:0),11
"Pelvic abscess, female (614.4:3)",11
NIDDM with hyperglycaemia (250.80:7),11
Hyperlipidemia (272.4:0),11
"Hodgkin disease, nodular sclerosis (201.50:0)",11
CA cardio-esophageal junction (151.0:7),11
Anemia megaloblastic B12 (281.1:1),11
"Delivered, PPH retained placenta (666.02:801)",11
Malig neopl kidney (189.0:0),11
DVT leg (453.8:3),11
Unilateral inguinal hernia (550.90:0),11
Alcoholic chronic liver disease (571.3:2),11
Heel ulcer (707.1:3),11
Colon bleeding (578.9:5),11
Mal neo long bones leg (170.7:0),11
Urinary calculus (592.9:0),11
Reflux esophagitis (530.11:0),10
Slipped PTBD (996.59:7),10
"Bladder rupt, nontraum (596.6:0)",10
Feeding prob-not newborn (783.3:0),10
Ovarian tumor (239.5:2),10
Cystitis (595.9:0),10
Subarachnoid h'mage no LOC (852.01:0),10
Mitral stenosis (394.0:0),10
Cancer of maxillary sinus (160.2:0),10
Small bowel stricture (560.9:10),10
Germ cell tumor extracranial (199.1:10),10
Mycoplasma pneumonia (483.0:0),10
TB peritonitis (014.00:0),10
Burn genitalia (942.05:0),10
GE salmonella D (003.0:4),10
CA exocervix (180.1:0),10
Fungal pneumonia (117.9:2),10
Pneumococcal meningitis (320.1:0),10
Paranoid schizophrenia (295.30:0),10
Cancer esophagus - cervical (150.0:0),10
"Iron defic anemia, chr blood loss (280.0:0)",10
Traumatic SDH w/o LOC (852.21:0),10
Ileostomy status (V44.2:0),10
"Lymphoma, thorax (202.82:0)",10
Hemophagocytic lymphohistiocytosis (288.8:3),10
Infected implants (996.60:1),10
Edema (782.3:0),10
Ischiorectal Abscess (566:5),10
Observation - suspected condition (V71.9:0),10
Disseminate intravasc coagulation (286.6:1),10
Angiodysplasia stomach bleeding (537.83:2),10
Prostatic disorder (602.9:0),10
Renal angiomyolipoma (223.0:2),10
Multiple small bowel ulcer (569.82:2),10
Drug allergy (995.2:3),10
Leukemia in remission (208.91:0),10
Amyloidosis (277.39:0),10
ANCA positive vasculitis (447.6:12),10
"Ruptured spleen, non-tra (289.59:1)",10
Disease of larynx (478.70:0),10
Grand mal-intractable epilepsy (345.11:0),10
Intracerebral bleed in brain stem (431:14),10
Type II DM with gangrene foot (250.70:3),10
"Ca Ureter, Lt (189.2:4)",10
H1N1 - human swine flu (487.1:11),10
Abscess of lung with pneumonia (513.0:2),10
Esophageal ulcer with bleeding (530.2:1),9
Corticoadrenal insufficiency (255.4:0),9
Groin LN (lymph node) (785.6:7),9
Pneumonia strep. B (482.32:0),9
"Pyogenic arthritis, wrist (711.03:1)",9
Closed # thoracic no cord lesion (805.2:0),9
Leptospirosis (100.9:0),9
"# tibia & fibula, open (823.92:0)",9
Carcinoma of peritoneum (158.9:1),9
Autoimmune hemolytic anemia (283.0:0),9
"Enlarged, multiple cervical LNs (785.6:4)",9
Hypert w renal failure (403.91:0),9
Cancer (199.1:0),9
Rhinovirus infection (079.3:0),9
Chronic peptic ulcer (533.70:0),9
Uncontrol DM w hyperosmolar coma (250.22:3),9
Disseminated tuberculosis (018.90:1),9
Sick sinus syndrome (427.81:1),9
Hemolytic anemia (283.10:1),9
Infectious gastroenteritis (009.0:4),9
Hypertensive renal disease (403.90:0),9
Cancer of parotid gland (142.0:0),9
Post-op wound dehiscence (998.3:0),9
Rheum aortic steno w insufficiency (395.2:0),9
"Bed sore, heel (707.0:4)",9
Kidney tumor (239.5:6),9
Addisonian Crisis (255.4:2),9
Perforation of rectosigmoid colon (569.83:6),9
"Peritonitis, Suppurative (567.2:0)",9
Skin Ulcer (707.9:2),9
CA pelvic bone/ sacrum/ coccyx (170.6:0),9
Severe aplastic anemia (284.9:2),9
MND (335.20:1),9
Rectal tumor (239.0:6),9
Esophageal disorder (530.9:0),9
Orthopaedic aftercare for TKR (V54.9:1),9
Acute herpes zoster (053.9:1),9
Erythroderma (695.9:2),9
Duodenal erosion (532.90:2),9
Viral hepatitis A (070.1:0),9
"SIRS, infect with organ failure (780.9:29)",9
Ileitis (558.9:6),9
Cardiomyopathy (425.4:12),9
Clo vlt# cere lac+ contu brief LOC (800.12:0),9
Acute ischemic colitis w/ bleeding (557.0:16),9
Fetal distress for maternal care (656.30:0),9
Eczema (692.9:3),9
Cancer of cheek mucosa (145.0:0),9
Streptococcus group G infection (041.05:0),9
Dissect aneurysm thoracoabdo aorta (441.03:0),9
Pneumocystis carinii infection (136.3:2),9
Closed # of rib (807.00:0),9
Primary sclerosing cholangitis (576.1:6),9
# surg nck humerus-clos (812.01:0),9
Op vlt# lac+ con prol LOC regain (800.64:0),9
Psoriasis (696.1:0),9
Vocal cord paralysis (478.30:0),9
Cold antibody hemolytic anemia (283.0:1),8
Mediastinitis (519.2:0),8
Strangulated incisional hernia (552.21:1),8
OGD with biopsy (45.16:0),8
Alcoholism (303.90:6),8
Burn of hand (944.00:0),8
No CBD stone (V71.9:7),8
"Delivered, vaginal tear + PPPH (665.41:802)",8
Wegener's granulomatosis (446.4:0),8
Candidal sepsis (112.5:1),8
Cancer connect/ soft tissue thorax (171.4:0),8
Cerebral thrombosis no infarct (434.00:0),8
Mal neo soft/ conn tissue H&N (171.0:0),8
Primary PPH+ uterine atony PN (666.14:803),8
Group B streptococcal septicemia (038.0:9),8
Cardiac tumor (239.8:5),8
Carcinoma of pancreas (157.9:1),8
Post-op hemoperitoneum (998.11:12),8
Neutropenia due to chemo (288.0:10000),8
Post hematopoiet stem cell transpl (V42.8:2),8
"Lymphosarcoma, spleen (200.17:0)",8
OA knee (715.96:1),8
Metastatic adenocarcinoma (199.1:9),8
Atypical pneumonia (486:1),8
Extranodal NK/T cell nasa lymphoma (202.80:41),8
Pancr intraduct papil mucin neo (235.5:4),8
Alcoholic fatty liver (571.0:0),8
Rupture Ectopic Preg (633.9:1),8
Cancer appendix vermiformis (153.5:0),8
Obstructiv hydrocephalus (331.4:0),8
CA female breast lower-inner quad (174.3:0),8
Nonrheum aortic stenosis w insuff (424.1:4),8
Unilat femoral hernia w obstruct (552.00:0),8
Candidiasis of esophagus (112.84:0),8
Pneumococcus infection (041.2:0),8
Megaloblastic anemia (281.3:0),8
False femoral aneurysm (442.3:1),8
Obstruct sleep apnea syndrome (780.53:2),8
Dialysis exit site infection (998.59:12),8
Cellulitis and abscess of finger (681.00:0),8
Acute non-traumatic renal injury (584.9:1),8
Cancer of thymus (164.0:0),8
Bleeding BPH (602.1:1),8
Cancer of tongue - base (141.0:0),8
Disseminated zoster (053.79:1),8
Rectal Polyp (569.0:3),8
"SLE GN syndrome, WHO class IV (710.0:16)",8
Swelling of limb (729.81:0),8
Secondary to regional LN (196.9:3),8
Cancer skin lower limb (173.7:0),8
Burkitt lymphoma multi sites LN (200.28:0),8
Atrial flutter (427.32:0),8
Wernicke's encephalopathy (265.1:1),8
Schizophrenia (295.90:0),8
Subdural h'mage LOC 1-24 hrs (852.24:0),8
Cecal diverticulitis (562.11:1),8
Malignant fever (780.6:1),8
Bezoar obstruction (560.89:3),8
Bladder stone (594.1:0),8
Malfunc urethral indwelling cath (996.31:0),8
Anti-GBM disease (583.89:10),8
Acquired hemophilia (286.9:9),8
"Toxic epid necro, correct subs (695.1:7)",8
Compartment syndrome (958.8:1),8
# Femur greater trochanter (820.20:1),8
Per rectal bleeding (578.9:1),8
Listerial septicemia (027.0:5),8
GB& bili calcu+ acu/chr cholecysti (574.80:0),8
Lumbar spinal stenosis (724.02:0),8
Poisoning-aromatic analgesic (965.4:0),8
Alcohol withdrawal state (291.81:1),8
Leukemic reticuloendotheliosis (202.40:0),8
Sustain monomorp ventric tachycard (427.1:11),8
Female pelvic inflammation (614.9:1),8
# humerus closed (812.20:0),8
Cancer of oesophagus (150.8:0),8
Ischemic colitis with bleeding (557.9:4),8
Urethral false passage (599.4:0),7
Breast disorders (611.8:0),7
Anti-phospholipid syndrome (279.4:1),7
Colonic ulcer (569.82:4),7
"Fistula, small bowel (569.81:6)",7
Spontaneous incomplete abortion (634.91:0),7
Gastritis with hemorrhage (535.51:1),7
Paraumbilical hernia (553.1:1),7
"Stevens-Johnson syndrome, TENS (695.1:11)",7
Lung transplant status (V42.6:0),7
Leukocytosis (288.8:1),7
Incompl spon abor pelv+ genit infe (634.01:0),7
Metas carcinoma urinary bladder (198.1:4),7
Friedlander bacillus infection (041.3:0),7
Pelvic tumor (239.8:4),7
Removal vascular catheter (V58.81:0),7
Pelvic Mass (789.30:7),7
Constrictive pericarditis (423.2:0),7
Rupture Esophagus (530.4:1),7
"Intramuscular haematoma,nontrauma (728.89:13)",7
Bile peritonitis (567.8:1),7
"Prev single Cesarean, delivered (654.21:2)",7
Metastasis to specified site (198.89:999),7
Mal ant medias tumor germ cell (164.2:5),7
Esophageal hemorrhage (530.82:0),7
Acute stimulant intoxication (305.70:3),7
Acute tonsillitis (463:0),7
Aftercare for THR (V54.9:2),7
Bronchiolitis obliterans (491.8:1),7
Pancreatic Cyst (577.2:2),7
Parotitis (527.2:2),7
"Laceration, scalp (873.0:1)",7
Acute Epididymo-orchitis (604.90:3),7
Stimulant harmful use mental disor (305.70:2),7
Type II DM with ketoacidosis (250.10:0),7
Parastomal Hernia (553.21:2),7
Erythema multiforme (695.1:0),7
Blocking right nephrostomy tube (996.39:15),7
Perforated terminal ileum (569.83:10),7
Fasciitis (729.4:0),7
Infec due to vasc device (996.62:0),7
Vascular dementia (290.40:11),7
Hypten heart+ renal dis renal fail (404.92:0),7
Leiomyoma of uterus (218.9:0),7
"Dehydration, moderate (276.5:3)",7
Candidiasis (112.9:0),7
Pelv # open / pelv disrup (808.53:0),7
Leucopenia (288.0:2),7
Hemopericardium (423.0:0),7
Pathologic # femur (733.15:0),7
HIV result in pneumocystosis (042:31),7
Streptococcal meningitis (320.2:0),7
Benign cerebral meningioma (225.2:0),7
Bleeding esophagitis (530.19:2),7
"VT, non-sustained (427.1:6)",7
GE salmonella B (003.0:2),7
Acute bacterial endocarditis (421.0:1),7
Pemphigoid (694.5:0),7
Incomplete abortion (637.91:0),7
Obstructed ureter (593.4:0),7
"Ca connect+soft tissue, other site (171.8:0)",7
SMA obstruction (557.0:15),7
Arthritis (716.90:1),7
Intestinal fistula (569.81:0),7
Paracolic & pelvic abscess (567.2:6),7
CBD stones with cholangitis (574.50:2),7
NAD on cystoscopy (V71.9:3),7
Serotonin syndrome (333.99:4),7
Intraabdominal abscess (567.2:4),7
Perinephric Abscess (590.2:1),7
Bacterial meningitis (320.9:0),7
Cancer of mediastinum (164.9:0),7
Rectovaginal fistula (619.1:1),7
Malig lymphoma inguinal+ LL LN (202.85:0),7
Hx musculoskeletal disease (V13.5:0),6
Submuco leiomyoma-uterus (218.0:0),6
Acute osteomyelitis (730.00:0),6
Essential thrombocythemia (238.7:1),6
Weakness (780.9:48),6
Infective colitis (009.0:2),6
Infective tenosynovitis (727.09:6),6
"Delivered, prolonged 2nd stage (662.21:800)",6
Petit mal status (345.2:0),6
Wilson's disease (275.1:2),6
Communicat hydrocephalus (331.3:0),6
"CA hypopharynx, other site (148.8:0)",6
Prostatitis (601.9:0),6
Cancer tip+ lateral border tongue (141.2:0),6
Mycosis (117.9:0),6
Cancer of stomach - fundus (151.3:0),6
Cancer urinary bladder neck (188.5:0),6
Post Polya gastrectomy (V45.89:11),6
Group A streptococcal septicemia (038.0:7),6
Dieulafoy's stomach lesion (531.40:6),6
Acinetobacter infection (041.85:8),6
Splenomegaly (789.2:0),6
Sacral abscess (730.08:2),6
Abscess of mediastinum (513.1:0),6
Heart transplant status (V42.1:0),6
M&B dis alcohol withdrawal state (291.81:5),6
Mal neo parietal lobe (191.3:0),6
Malign neopl vagina (184.0:0),6
Influenza like illness (079.89:11),6
Rheumatic mitral insuff (394.1:0),6
Acute interstitial nephritis (580.89:1),6
Abdominal compartment syndrome (958.8:2),6
"Alcoholic cirrhosis of liver, B (571.2:2)",6
Hantavirus infection (078.89:4),6
"Chronic kidney disease, stage 5 (585.9:9)",6
"CA Kidney - Renal pelvis, left (189.1:3)",6
TB spine (015.00:0),6
Malign neopl breast (174.8:0),6
Perforated Jejunum (569.83:4),6
Atherosclerosis limb w gangrene (440.24:0),6
Esophagogastroduodenoscopy (45.13:1),6
Ankle ulcer (707.1:10),6
Acute hemorrhagic pancreatitis (577.0:1),6
Delivered with abruptio placenta (641.21:800),6
Alzheimer's disease (331.0:0),6
# upper end tibia-close (823.00:0),6
Dementia Alzheimer late onset (290.0:3),6
Hodgkin nodul sclero multi site LN (201.58:0),6
Internal herniation (553.8:1),6
Iliac artery obstruction (444.81:2),6
Crusted scabies (133.0:2),6
"Delivered, APH - placenta previa (641.11:800)",6
Acute alcoholic intoxication (303.00:0),6
Disorder of biliary tract (576.9:0),6
Parotid gland abscess (527.3:1),6
Subarachnoid h'mage mod LOC (852.03:0),6
"Abdominal pain, right low quadrant (789.03:0)",6
HIV result in PJP (042:59),6
Streptococcus group B infection (041.02:0),6
Uncontrol DM with hyperosmolarity (250.22:2),6
Open wound of scalp (873.0:0),6
Shoulder pain (781.9:3),6
Traumatic injury to kidney (866.00:0),6
Fracture acetabulum - closed (808.0:0),6
Major liver laceration traumatic (864.04:999),6
Gouty tophi (274.0:2),6
Membranous glomerulonephritis (583.1:1),6
Gram-negative meningitis (320.82:0),6
"Lymphadenopathy, groin (785.6:8)",6
Bleeding from colostomy (997.4:28),6
Viral gastroenteritis (008.8:0),6
Cancer connect+ soft tissue UL (171.2:0),6
Obstructive hydronephrosis (591:6),6
"Cancer of ureter, right (189.2:3)",6
Atrophic gastritis (535.10:0),6
Cancer of jejunum (152.1:0),6
Poisoning-sedative/hypnotic (967.9:0),6
Hyperplasia of prostate (600:0),6
Hemoglobin H disease (282.4:6),6
Splenic artery aneurysm (442.83:0),6
CA urinary bladder anterior wall (188.3:0),6
Pyosalpinx (614.2:1),6
# femur shaft - open (821.11:0),6
Hyperammonemia (270.6:4),6
Poison by antidepressant (969.0:0),6
Bladder wall hemorrhage (596.7:1),6
Infected amputated stump (997.62:0),6
Esophageal polyp (530.89:1),6
"VT, sustained (427.1:7)",6
Uncontrol DM w ketoacidotic coma (250.32:3),6
"Streptococcal sepsis, group A (038.0:4)",6
Adenomyosis of uterus (617.0:1),6
Thrombotic microangiopathy (446.6:0),6
Missed miscarriage (632:0),6
# radius distal end closed (813.42:0),6
Bladder Mass (596.8:2),6
Cranial diabetes insipidus (253.5:1),6
Post Polya with GJ-ostomy (V45.89:12),6
Chronic hep C with coma (070.44:0),6
Polycystic kidney (753.12:0),6
Pyloric Obstruction (537.0:1),6
Interstitial pneumonia (516.8:5),6
Liver metastasis (197.7:0),6
HIV resuting in Burkitt's lymphoma (042:50),6
Nonrheumatic mitral valve prolapse (424.0:1),6
Disorders of uterus (621.8:0),6
Cancer of larynx - supraglottis (161.1:0),6
Displace orthopedic device (996.4:3),6
Hypothyroidism (244.9:0),5
Mitral valve prolapse (424.0:11),5
Influenza A H3N2 (487.1:7),5
Close skull vault # no coma (800.21:0),5
"Cancer of testis, right (186.9:4)",5
Cellulitis & abscess of toes (681.10:0),5
Intracranial inj LOS 1-24 hrs (854.03:0),5
"UTI, post-op complication (599.0:2)",5
Intracranial venous sinus thrombos (325:1),5
Crescentic GN (583.89:2),5
CA prostate (185:2),5
Contusion (924.9:0),5
Chronic respiratory failure (518.81:5),5
Skin melanoma (172.9:1),5
Spinal abscess (324.1:2),5
Preseptal orbital cellulitis (376.01:2),5
Uncontrol type I DM ketoacid coma (250.33:2),5
Cardiac cirrhosis (571.5:9),5
"Non-trau hematoma, skin/subcut tis (782.7:1)",5
Occlude precerebral art + infarct (433.91:0),5
Delivered with primary PPH (666.12:801),5
Mechanical low back pain (724.2:3),5
CA nipple+ areola female breast (174.0:1),5
Sec mal neo brain/spine (198.3:0),5
Pyloric Stenosis (537.0:2),5
Gram positive bacterial infection (041.89:1),5
Bladder neoplasm (239.4:0),5
Recur unilat ing hernia w obstruct (550.11:0),5
Pneumonia due to coronavirus (480.8:1),5
Colonic fistula (569.81:3),5
Proctitis (569.49:1),5
"Delivered, no progress in labor (661.21:802)",5
Diabetes insipidus (253.5:0),5
Closed # lumbar spine (805.4:0),5
Strongyloidiasis (127.2:0),5
Multi inflam syndr adult COVID-19 (780.9:66),5
Hx of leukemia (V10.60:0),5
"Fracture of pubis, closed (808.2:0)",5
"Ureteric stones, Lt (592.1:5)",5
Prophylactic isolation (V07.0:0),5
Cryptogenic cirrhosis (571.5:10),5
Paronychia in finger (681.02:2),5
Hepatic coma (572.2:0),5
Ment+ beh dis harmful use alcohol (305.00:1),5
Infective peritonitis (567.2:13),5
Mitral valve prosthe complication (996.02:2),5
Disseminated cryptococcosis (117.5:6),5
Metastasis to vertebrae (198.5:5),5
Hx uteri cervix cancer (V10.41:0),5
Bile leakage from PTBD (997.4:26),5
Secondary adrenal insufficiency (255.4:4),5
Polyarteritis nodosa (446.0:0),5
Breast mass (611.72:4),5
Transverse Myelitis (323.9:2),5
Tenosynov hand/wrist (727.05:0),5
Polycyst kidney autosom dominant (753.13:0),5
"Hodgkin disease, multi sites (201.98:0)",5
Tick-borne ricketts (082.9:0),5
Mesenteric Embolism (557.0:10),5
Wound hematoma (998.12:2),5
Closed # of cervical vertebra (805.00:0),5
Cor pulmonale (416.9:2),5
Short gut syndrome (579.3:1),5
Fatty liver (571.8:1),5
Cerebral lupus (710.0:5),5
Attempt suicide (300.9:2),5
TB lymph node (017.20:0),5
"Perfor urinary bladder, traumatic (867.0:1)",5
"Mesenteric tear, traumatic (863.89:1)",5
Malnutrition (263.9:1),5
Loosen ortho implant/ device (996.4:4),5
Laceration of skin (879.8:17),5
Closed lumbar # w cord injury (806.4:0),5
Abscess of spleen (289.59:3),5
Ca adrenal (194.0:2),5
Renal cyst (593.2:1),5
CA endocervix (180.0:0),5
Sequelae of SAH (438:4),5
Paraproteinemia (273.2:0),5
NonInflam dsdr  ovary (620.9:2),5
Gangrenous pneumonia (513.0:3),5
Hemolytic-uremic syndrom (283.11:0),5
Cyanotic congenital heart disease (746.9:1),5
Spleen parenchyma laceration (865.03:0),5
Gallstone ileus (560.31:0),5
Pyothorax (510.9:2),5
Hepatocellular adenoma (211.5:7),5
Delivered with intrauterine death (656.41:800),5
Intestinovesical fistula (596.1:0),5
"Arthritis, bacterial infection (711.00:4)",5
"HELLP syndrome, delivery episode (642.51:2)",5
Ac/subac bact endocard (421.0:0),5
Infected ascites (789.5:3),5
Laceration of face (873.40:1),5
Carcinoma of stomach (151.9:1),5
Acute hemorrhagic cholecystitis (575.0:3),5
Lesion of pancreas (577.8:4),5
Bleeding CBD (576.8:1),5
Drowning / nonfatal submersion (994.1:0),5
Infected arteriovenous graft (996.62:1),5
"Delivered, prev Cesarean section (654.21:800)",5
Anaerobic septicemia (038.3:0),5
"Contusion of trunk, back (922.31:0)",5
Disease of pharynx or nasopharynx (478.29:0),5
Paroxysmal atrial fibrillation (427.31:1),5
Acute erosive gastritis (535.00:2),5
Hip arthroplasty dislocation (996.4:7),5
Bacterial enteritis (008.5:0),5
Meningococcemia (036.2:0),5
Lymphosarcoma and reticulosarcoma (200.80:0),5
Liver injury (864.00:0),5
Glomerulonephritis (583.89:6),5
IgG4 related systemic disease (279.9:4),5
Cancer of esophagus (150.9:0),5
Pemphigus vulgaris (694.4:3),5
"Fundal varices, bleeding (456.8:1)",5
NIDDM with hypoglycemia (250.80:5),5
Graft-versus-host disease (996.85:1),5
Tachycardia-bradycardia syndrome (427.81:5),5
Carbuncle of back (680.2:1),5
"Compartment syndrome, traumatic (958.8:3)",5
Invasive transition cell carcinoma (199.1:21),5
Hypocalcemia not newborn (275.4:9),5
Toxic megacolon (556.9:5),5
Streptococcus suis meningitis (320.2:1),5
"Pneumonia, anaerobes (482.81:0)",5
CMV retinitis (078.5:2),5
Disseminated candidiasis (112.5:0),5
Congestive rheumatic heart failure (398.91:0),5
Thymoma (235.8:3),5
"Intestinal infection, clostridium (008.46:3)",4
Defibrination syndrome (286.6:0),4
"GIST, small bowel (235.2:4)",4
Respiratory infection (519.8:5),4
Malignant pleural effusion (197.2:2),4
# humerus shaft-closed (812.21:0),4
Myositis (729.1:3),4
Dislodged cholecystostomy tube (996.59:13),4
Self neglect poor fd/ water intake (783.3:1),4
Idiopathic pulmonary artery HT (416.0:2),4
Depression (311:1),4
Lumbar vertebra collapse (733.13:5),4
Listeriosis meningitis (027.0:1),4
Mucormycosis (117.7:2),4
Infectious disease (136.9:5),4
Adrenal tumor (239.7:1),4
Esophag varice due to cirrhosis (571.5:1),4
Osteoarthritis of hip (715.95:1),4
Arteriovenous fistula (447.0:999),4
"Sclerosing peritonitis, dialysis (567.8:5)",4
Cancer connect/ soft tissue abdo (171.5:0),4
Acute drug intoxication (305.90:8),4
Acute renal tubular necrosis (584.5:4),4
Salmonella infection (003.9:0),4
Scabies (133.0:0),4
TB ileitis (014.80:0),4
Benign neoplasm - brain (225.0:0),4
Infect postop seroma (998.51:0),4
Open wound foot (892.0:0),4
Chronic osteomyelitis (730.10:0),4
Lyell's Syndrome (695.1:3),4
Radiation pneumonitis (508.0:1),4
Burkitt lymphoma intra-abdo LN (200.23:0),4
Gastric polyposis (211.1:6),4
Acute ischaemic colitis (557.0:19),4
Hematoma of kidney (866.01:0),4
Cancer of hypopharynx (148.9:0),4
CNS demyelination (341.9:0),4
Femoral artery obstruction (444.22:5),4
Ruptured aneurysm of artery (442.9:7),4
Infection by adenovirus (079.0:0),4
Generalized rash (782.1:2),4
SIADH (253.6:1),4
Pneumococcal sepsis (038.2:1),4
Dengue hemorrhagic fever (065.4:2),4
Injury iliac artery (902.53:0),4
Complete lesion cord / C1 - C4 (952.01:0),4
"Aortic insufficiency, nonrheumatic (424.1:7)",4
Dislodgement of NG tube (996.59:6),4
Aneurysm of carotid artery (442.81:1),4
Hx of bladder malignancy (V10.51:0),4
Duodenitis w hemorrhage (535.61:0),4
Stent complication (996.59:1),4
Acute suppurat bacterial arthritis (711.00:10),4
Hx of ICH (438:2),4
Tumor (239.9:0),4
Gastroparesis (536.3:0),4
Cerebral cortex contusion no coma (851.01:0),4
Inflammatory bowel disease (558.9:18),4
Zoster encephalitis (053.19:2),4
Burn neck (941.08:0),4
Abn findings-lung field (793.1:0),4
Hypertr obstr cardiomyop (425.1:0),4
GB& bile duct stone+ AC & obstruct (574.61:0),4
Achalasia (530.0:1),4
Vascular insufficiency of bowel (557.9:0),4
Acute appendicitis+ local peritoni (540.0:5),4
Coagulase -ve staphy septicemia (038.1:3),4
Headache (784.0:0),4
Amebic liver abscess (006.3:0),4
"Toxic effect, nonmedicinal agent (989.8:0)",4
Chronic nonalcoholic liver disease (571.9:0),4
Acute on chronic alcohol liver dis (571.1:2),4
Acute ren fail w tubular necrosis (584.5:0),4
Enterocutaneous fistula (569.81:8),4
Gram-negative bacterial infection (041.85:0),4
Spondylitis (720.9:3),4
VSD - post MI (429.71:2),4
Epstein Barr virus infection (075:1),4
Metastasis to pleura (197.2:1),4
Pseudogout (275.4:28),4
Meningoencephalitis (323.9:10),4
CA urinary bladder - dome (188.1:0),4
"Hodgkin disease, mixed cellularity (201.60:0)",4
Mycoplasma infection (041.81:0),4
Chronic ulcer of lower limb (707.1:999),4
Acute IHD (411.89:2),4
Paralytic ileus (560.1:0),4
Angioimmunoblastic T-cell lymphoma (202.80:50),4
"Prev multiple Cesarean, delivered (654.21:1)",4
Hx of NPC (V10.02:1),4
Hydropneumothorax (511.8:5),4
Fibrosing alveolitis (516.3:1),4
"Pyogenic arthritis, elbow (711.02:1)",4
TB meningitis by culture (013.04:0),4
Close skull vault # mod coma (800.43:0),4
Secondary to distant LN (196.9:4),4
Partial epilepsy+impaired consciou (345.40:0),4
Weight loss (783.2:1),4
Pathologic # vertebrae (733.13:0),4
Neuropathy (349.9:7),4
Pathologic # humerus (733.11:0),4
Uncontrol type II DM gangrene foot (250.72:1),4
"Thrombocytopenia, Immune (287.5:1)",4
Stomach polyp bleeding (537.84:1),4
Cancer of skin - face (173.3:0),4
Post Whipple's operation (V45.89:20),4
FB in pharynx (933.0:0),4
"Anorexia nervosa, restricting (307.1:1)",4
Chronic inflam demyelin neuropathy (357.8:1),4
Intramural leiomyoma uterus (218.1:0),4
Alcohol-induced acute pancreatitis (577.0:8),4
Unc beh neo nerv sys (237.9:0),4
Intervertebral discitis (722.90:4),4
Chronic pancreatitis (577.1:0),4
Fiber-optic bronchoscopy (33.22:0),4
Polycystic liver disease (751.62:1),4
Posterior disloc hip-cl (835.01:0),4
Hepatitis E infection (070.53:0),4
Anaphylaxis (995.0:0),4
Rheumatic mitral & aortic stenosis (396.0:0),4
"Aortic occlusion, abdomen (444.0:2)",4
Primary antiphospholipid syndrome (279.4:3),4
Gallstone with obstruction (574.21:0),4
Ectopic pregnancy (633.9:0),4
Op - accidental perfor bladder (998.2:7),4
Drug induced fever (780.6:4),4
