Organism_Combination,Count
Aspergillus fumigatus complex | Candida parapsilosis complex | Clostridioides difficile | Enterobacter cloacae complex,1
Brevibacterium species | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,1
"Corynebacterium striatum | Diphtheroids | Morganella morganii | Staphylococcus aureus | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
Candida albicans | Haemophilus influenzae | Staphylococcus aureus | Staphylococcus epidermidis,1
Finegoldia species | Proteus species | Streptococcus species,1
Corynebacterium striatum | Pseudomonas aeruginosa | Serratia marcescens | Staphylococcus aureus | Streptococcus dysgalactiae,1
Escherichia coli | Staphylococcus lugdunensis | Streptococcus anginosus,1
Candida albicans | Candida glabrata | Escherichia coli | Klebsiella aerogenes | Non-fermentative Gram-negative bacilli,1
Candida albicans | Escherichia coli | Salmonella group C,1
Alpha-haemolytic streptococcus | Haemophilus parahaemolyticus | Klebsiella pneumoniae | Prevotella species | Staphylococcus aureus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida species | Candida tropicalis | Clostridium perfringens | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Streptococcus anginosus | Streptococcus, viridans group",1
Campylobacter rectus | Fusobacterium species,1
Citrobacter koseri | Klebsiella aerogenes | Methicillin resistant Staphylococcus aureus | Proteus species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Serratia marcescens | Staphylococcus lugdunensis,1
Acinetobacter baumannii | Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Corynebacterium striatum | Enterococcus avium | Enterococcus faecalis | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus caprae,1
"Candida albicans | Candida dubliniensis | Candida glabrata | Candida glabrata complex | Staphylococcus, coagulase negative",1
Candida glabrata | Diphtheroids | Enterococcus faecium | Providencia stuartii,1
Bacteroides fragilis | Escherichia coli | Pseudomonas aeruginosa | Streptococcus constellatus,1
Comamonas kerstersii | Escherichia coli,1
Bifidobacterium species | Escherichia coli,1
"Diphtheroids | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1
Stenotrophomonas maltophilia | Talaromyces marneffei,1
Flavobacterium species | Stenotrophomonas maltophilia,1
"Campylobacter jejuni | Candida albicans | Enterococcus faecium | Staphylococcus, coagulase negative",1
Acinetobacter baumannii | Candida albicans | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1
Lodderomyces elongisporus | Methicillin resistant Staphylococcus aureus | Trichosporon asahii,1
"Corynebacterium urealyticum | Staphylococcus, coagulase negative | Streptococcus, group G",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Providencia stuartii | Pseudomonas aeruginosa,1
"Candida dubliniensis | Enterococcus faecium | Staphylococcus, coagulase negative",1
Candida albicans | Klebsiella pneumoniae | Salmonella group D,1
Campylobacter jejuni | Clostridioides difficile,1
Candida tropicalis | Cellulosimicrobium cellulans | Enterococcus gallinarum | Escherichia coli | Klebsiella oxytoca,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis complex | Clostridium species | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Streptococcus gallolyticus subspecies pasteurianus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Enterococcus faecium | Escherichia coli | Proteus mirabilis,1
Pseudomonas putida | Stenotrophomonas maltophilia | Vibrio fluvialis,1
Campylobacter fetus subsp. Fetus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Fusobacterium species | Klebsiella species | Prevotella species | Pseudomonas aeruginosa | Shewanella species | Staphylococcus epidermidis | Vibrio parahaemolyticus | Vibrio vulnificus,1
Bacteroides fragilis | Coliform bacteria | Escherichia coli | Streptococcus bovis group,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Candida glabrata complex | Corynebacterium striatum | Enterococcus faecium | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Yeast,1
Acid-fast bacillus | Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Acinetobacter species | Candida albicans | Corynebacterium striatum | Klebsiella species | Mycobacterium fortuitum complex,1
Citrobacter koseri | Corynebacterium jeikeium | Methicillin resistant Staphylococcus aureus,1
Candida glabrata | Cutibacterium acnes | Diphtheroids | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Escherichia coli | Lactococcus garvieae | Proteus mirabilis | Streptococcus anginosus,1
Corynebacterium species | Enterococcus faecalis | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,1
Klebsiella pneumoniae complex | Salmonella Enteritidis | Salmonella group D,1
Anaerococcus species | Enterococcus gallinarum,1
Bacteroides fragilis | Bacteroides thetaiotaomicron | Escherichia coli | Parabacteroides distasonis | Ruminococcus gnavus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium | Stenotrophomonas maltophilia,1
Enterobacter cloacae complex | Methicillin resistant Staphylococcus aureus | Mycobacterium avium complex | Mycobacterium fortuitum complex | Mycobacterium species,1
Enterobacter species | Escherichia coli | Pseudomonas aeruginosa | Serratia species | Staphylococcus aureus | Staphylococcus capitis,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium resistens | Diphtheroids | Enterobacter species | Enterococcus faecalis | Enterococcus faecium | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus caprae | Staphylococcus haemolyticus | Staphylococcus, coagulase negative | Streptococcus agalactiae",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Coliform bacteria | Enterococcus faecium | Escherichia coli | Proteus mirabilis | Streptococcus species,1
Alcaligenes faecalis | Citrobacter freundii complex | Corynebacterium aurimucosum | Corynebacterium jeikeium | Corynebacterium striatum | Escherichia coli | Klebsiella variicola | Methicillin resistant Staphylococcus aureus | Myroides odoratimimus | Myroides species | Providencia rettgeri | Staphylococcus aureus | Stenotrophomonas maltophilia | Streptococcus dysgalactiae,1
Candida glabrata | Trichosporon asahii,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Corynebacterium striatum | Diphtheroids | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Klebsiella species | Lactococcus species,1
Bacteroides fragilis group | Klebsiella aerogenes,1
Acinetobacter species | Elizabethkingia species,1
Serratia marcescens | Serratia species | Streptococcus species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida tropicalis | Enterococcus faecium | Escherichia coli | Klebsiella variicola,1
Microbacterium esteraromaticum,1
Candida glabrata | Candida species | Clostridium paraputrificum | Clostridium perfringens | Corynebacterium striatum | Escherichia coli | Klebsiella oxytoca,1
Actinomyces neuii | Actinomyces neuii ss neuii | Finegoldia magna,1
Corynebacterium striatum | Enterococcus faecalis | Escherichia coli | Mycobacterium species | Mycobacterium tuberculosis | Proteus mirabilis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Candida species | Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Serratia marcescens | Staphylococcus aureus | Stenotrophomonas maltophilia | Trichophyton rubrum,1
Candida albicans | Clostridioides difficile | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Candida glabrata | Enterococcus faecalis | Enterococcus species | Escherichia coli | Klebsiella pneumoniae complex | Morganella morganii | Pseudomonas aeruginosa | Shewanella species | Streptococcus anginosus,1
Candida glabrata | Corynebacterium striatum | Klebsiella pneumoniae | Pseudomonas aeruginosa,1
Candida glabrata | Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Neisseria zoodegmatis,1
Bacteroides fragilis | Candida tropicalis | Enterococcus faecalis | Gardnerella vaginalis | Klebsiella species,1
Diphtheroids | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Pseudomonas species,1
Candida albicans | Clostridioides difficile | Klebsiella pneumoniae complex | Salmonella group D,1
Candida glabrata | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Coliform bacteria | Corynebacterium striatum | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus epidermidis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Moraxella osloensis | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Staphylococcus aureus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus species | Enterobacter species | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Staphylococcus capitis | Staphylococcus epidermidis | Staphylococcus, coagulase negative",1
"Candida tropicalis | Coliform bacteria | Diphtheroids | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Yeast",1
Acinetobacter bereziniae | Candida albicans | Enterococcus faecalis | Haemophilus influenzae | Klebsiella pneumoniae | Proteus mirabilis,1
Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus epidermidis,1
"Candida glabrata | Candida species | Enterococcus faecalis | Escherichia coli | Streptococcus, group G",1
"Candida albicans | Escherichia coli | Staphylococcus, coagulase negative | Streptococcus gallolyticus subspecies pasteurianus",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids | Klebsiella species,1
Bacteroides fragilis | Candida albicans | Enterobacter cloacae complex | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Gram-negative bacilli | Streptococcus anginosus,1
Candida glabrata | Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Yeast,1
"Alpha-haemolytic streptococcus | Citrobacter freundii complex | Pseudomonas aeruginosa | Rothia mucilaginosa | Staphylococcus, coagulase negative",1
Klebsiella pneumoniae complex | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus aureus,1
Enterococcus faecalis | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Morganella morganii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Klebsiella aerogenes | Methicillin resistant Staphylococcus aureus,1
Corynebacterium amycolatum | Methicillin resistant Staphylococcus aureus,1
Bacteroides fragilis | Candida albicans | Escherichia coli | Fusobacterium varium | Morganella morganii | Peptostreptococcus anaerobius | Pseudomonas aeruginosa,1
"Acidaminococcus intestini | Bacteroides stercoris | Clostridium perfringens | Corynebacterium amycolatum | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis | Candida parapsilosis complex | Candida species | Enterococcus faecium | Kodamaea ohmeri | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Proteus mirabilis,1
Enterobacter cloacae complex | Streptococcus agalactiae,1
Actinomyces turicensis | Candida glabrata | Enterococcus faecalis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Clostridioides difficile | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Providencia stuartii | Pseudomonas aeruginosa | Staphylococcus aureus | Yeast,1
Bordetella bronchiseptica | Escherichia coli | Methicillin resistant Staphylococcus aureus,1
Enterococcus faecium | Peptostreptococcus species | Pseudomonas aeruginosa | Staphylococcus aureus | Streptococcus anginosus | Streptococcus dysgalactiae subsp. equisimilis,1
Lactococcus lactis,1
Clostridioides difficile | Elizabethkingia meningoseptica | Escherichia coli | Peptostreptococcus species | Staphylococcus aureus,1
Escherichia coli | Neisseria elongata,1
"Diphtheroids | Neisseria species | Prevotella pallens | Streptococcus, viridans group",1
Candida albicans | Candida glabrata | Enterococcus faecalis | Escherichia coli | Klebsiella aerogenes | Streptococcus agalactiae,1
"Enterobacter cloacae complex | Enterococcus faecium | Gram-positive cocci | Klebsiella pneumoniae | Staphylococcus, coagulase negative",1
"Candida parapsilosis | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Staphylococcus, coagulase negative",1
"Candida glabrata | Candida parapsilosis | Corynebacterium species | Enterococcus species | Escherichia coli | Fusobacterium species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Alpha-haemolytic streptococcus | Neisseria species | Staphylococcus aureus | Streptococcus, viridans group",1
Bacteroides species | Citrobacter koseri | Enterococcus faecalis | Escherichia coli,1
Clostridium perfringens | Escherichia coli | Klebsiella pneumoniae complex | Streptococcus milleri group,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida parapsilosis complex | Candida tropicalis | Coliform bacteria | Diphtheroids | Enterobacter cloacae complex | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Proteus vulgaris | Providencia stuartii | Pseudomonas aeruginosa,1
Corynebacterium striatum | Escherichia coli | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Pantoea agglomerans,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Staphylococcus aureus | Staphylococcus caprae,1
Clostridium perfringens | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Streptococcus bovis group,1
"Bacteroides fragilis | Candida albicans | Escherichia coli | Klebsiella aerogenes | Klebsiella pneumoniae complex | Streptococcus anginosus | Streptococcus constellatus | Streptococcus, viridans group",1
Candida albicans | Candida lusitaniae | Candida parapsilosis | Candida species | Escherichia coli | Franconibacter pulveris | Klebsiella pneumoniae | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis complex | Enterobacter species | Escherichia coli | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,1
Acinetobacter baumannii | Corynebacterium striatum | Enterococcus faecalis | Providencia stuartii | Stenotrophomonas maltophilia,1
Enterococcus faecalis | Morganella morganii | Proteus mirabilis | Proteus species,1
"Candida albicans | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Salmonella Enteritidis | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Coliform bacteria | Escherichia coli | Mycobacterium gordonae | Mycobacterium species,1
Acinetobacter radioresistens | Escherichia coli | Proteus mirabilis | Staphylococcus aureus,1
Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Slackia exigua,1
"Neisseria zoodegmatis | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Candida glabrata | Clostridium perfringens | Enterobacter cloacae complex | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Streptococcus anginosus | Streptococcus mitis group | Streptococcus vestibularis,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella species | Staphylococcus, coagulase negative",1
Candida glabrata | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus epidermidis,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1
Klebsiella aerogenes | Methicillin resistant Staphylococcus aureus | Salmonella group D,1
Candida lusitaniae | Enterococcus faecalis | Proteus mirabilis | Pseudomonas aeruginosa,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium species | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Coliform bacteria | Corynebacterium species | Methicillin resistant Staphylococcus aureus,1
Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus species,1
"Candida species | Clostridioides difficile | Corynebacterium species | Staphylococcus, coagulase negative",1
Candida albicans | Candida orthopsilosis | Candida species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Bacteroides fragilis group | Enterococcus avium | Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis | Staphylococcus lugdunensis,1
Candida tropicalis | Clostridioides difficile | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Morganella morganii | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis | Enterococcus faecalis | Enterococcus faecium,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Clostridioides difficile | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1
Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Streptococcus anginosus,1
Candida albicans | Diphtheroids | Enterococcus faecalis | Proteus mirabilis | Pseudomonas aeruginosa,1
Candida albicans | Candida glabrata | Diphtheroids | Enterococcus faecalis | Klebsiella species,1
"Escherichia coli | Neisseria species | Streptococcus constellatus | Streptococcus, viridans group",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida parapsilosis complex,1
Candida albicans | Candida parapsilosis | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus dysgalactiae subsp. equisimilis,1
Candida glabrata | Enterococcus faecium | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Diphtheroids | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae,1
Acid-fast bacillus | Candida glabrata | Mycobacterium fortuitum complex,1
"Bacteroides fragilis group | Escherichia coli | Streptococcus, viridans group",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida species | Enterococcus faecalis | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus capitis,1
"Corynebacterium species | Enterococcus faecalis | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Providencia stuartii | Pseudoglutamicibacter species | Pseudomonas aeruginosa,1
Clostridium perfringens | Escherichia coli | Streptococcus sanguinis,1
Anaerobic bacteria | Bacteroides fragilis | Bacteroides species | Candida albicans | Enterococcus faecium | Escherichia coli | Stenotrophomonas maltophilia,1
Citrobacter species | Klebsiella pneumoniae complex | Streptococcus anginosus,1
Actinomyces odontolyticus | Bacteroides fragilis | Eikenella corrodens | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Klebsiella species | Proteus species | Salmonella group B,1
Candida albicans | Candida glabrata | Candida tropicalis | Klebsiella pneumoniae complex | Lactobacillus species,1
Candida tropicalis | Enterococcus faecalis | Klebsiella pneumoniae | Klebsiella species | Morganella morganii | Proteus mirabilis,1
Candida glabrata | Enterobacter cloacae complex | Enterococcus faecalis | Haemophilus parainfluenzae | Streptococcus mitis | Streptococcus sanguinis,1
Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella aerogenes | Klebsiella pneumoniae complex,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Candida tropicalis | Citrobacter species | Enterococcus faecium | Escherichia coli | Klebsiella oxytoca | Klebsiella pneumoniae | Klebsiella species | Pichia kudriavzevii | Prevotella denticola | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Candida albicans | Fusobacterium species,1
Bacteroides species | Streptococcus anginosus,1
Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Serratia species | Staphylococcus epidermidis,1
Alpha-haemolytic streptococcus | Diphtheroids | Rothia mucilaginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Oligella urethralis | Proteus mirabilis,1
Candida albicans | Candida glabrata | Diphtheroids,1
Enterococcus faecium | Gram-positive cocci | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Streptococcus sanguinis,1
"Bifidobacterium longum | Escherichia coli | Staphylococcus, coagulase negative",1
Actinomyces species | Enterococcus faecium | Escherichia coli,1
Corynebacterium striatum | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus haemolyticus | Stenotrophomonas maltophilia,1
Corynebacterium pseudodiphtheriticum | Escherichia coli,1
"Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1
Anaerobic Gram-negative bacilli | Parvimonas micra | Streptococcus anginosus,1
"Escherichia coli | Streptococcus dysgalactiae subsp. equisimilis | Streptococcus, group G",1
Candida parapsilosis | Enterococcus faecium | Pseudomonas aeruginosa,1
"Gram-negative bacilli | Streptococcus, viridans group",1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Candida albicans | Coliform bacteria | Corynebacterium striatum | Enterococcus faecalis | Enterococcus faecium,1
Haemophilus parahaemolyticus,1
Alpha-haemolytic streptococcus | Enterobacter cloacae complex | Propionibacterium species | Staphylococcus haemolyticus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Escherichia coli | Haemophilus influenzae | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Citrobacter koseri | Yeast,1
Acid-fast bacillus | Nocardia species,1
Bacteroides fragilis | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Streptococcus anginosus,1
Diphtheroids | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Proteus species | Staphylococcus haemolyticus,1
Coliform bacteria | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Morganella morganii,1
Alpha-haemolytic streptococcus | Enterococcus faecalis | Staphylococcus haemolyticus,1
Enterococcus raffinosus | Pseudomonas aeruginosa,1
Candida glabrata | Enterococcus faecium | Escherichia coli | Morganella morganii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus avium | Morganella morganii | Proteus species | Proteus vulgaris | Pseudomonas aeruginosa | Staphylococcus aureus,1
Bacteroides fragilis | Candida albicans | Corynebacterium striatum | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Candida albicans | Escherichia fergusonii | Klebsiella species | Pseudomonas aeruginosa,1
"Candida albicans | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Actinomyces species | Corynebacterium species | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Candida parapsilosis | Corynebacterium striatum | Diphtheroids | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Providencia stuartii | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Enterococcus faecalis | Klebsiella species | Prevotella bivia | Streptococcus agalactiae,1
Aspergillus flavus | Candida parapsilosis | Candida tropicalis | Enterobacter species | Mould | Staphylococcus aureus | Streptococcus anginosus,1
"Candida albicans | Candida parapsilosis complex | Clostridioides difficile | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Salmonella group B | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Morganella morganii | Proteus mirabilis | Staphylococcus aureus,1
Diphtheroids | Klebsiella species | Pseudomonas aeruginosa,1
Escherichia coli | Klebsiella pneumoniae complex | Streptococcus gordonii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Diphtheroids | Pseudomonas aeruginosa,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecalis | Fusobacterium species | Methicillin resistant Staphylococcus aureus | Peptostreptococcus anaerobius | Proteus mirabilis | Pseudomonas aeruginosa | Streptococcus, group G",1
"Corynebacterium jeikeium | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Candida albicans | Candida glabrata | Candida tropicalis | Enterococcus faecium | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa,1
Acid-fast bacillus | Mycobacterium avium complex | Streptococcus pneumoniae,1
Chryseomonas luteola,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Morganella morganii | Streptococcus species,1
Bacteroides fragilis | Enterococcus faecalis | Escherichia coli | Pseudomonas aeruginosa,1
Alpha-haemolytic streptococcus | Corynebacterium argentoratense | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Neisseria species,1
Candida albicans | Candida species | Corynebacterium striatum | Enterobacter cloacae complex | Enterococcus faecium | Escherichia coli | Klebsiella aerogenes,1
Clostridioides difficile | Diphtheroids | Enterobacter species | Enterococcus faecalis | Enterococcus species | Escherichia coli | Klebsiella aerogenes | Proteus mirabilis | Rothia mucilaginosa | Serratia species | Staphylococcus epidermidis,1
Prevotella intermedia | Pseudomonas aeruginosa,1
Candida albicans | Escherichia coli | Finegoldia magna | Staphylococcus epidermidis,1
Clostridioides difficile | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,1
Peptoniphilus indolicus,1
Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Stenotrophomonas maltophilia,1
Bacteroides fragilis group | Eggerthella lenta | Klebsiella pneumoniae,1
"Staphylococcus species | Staphylococcus, coagulase negative",1
Bacteroides thetaiotaomicron | Citrobacter species | Diphtheroids | Staphylococcus aureus | Staphylococcus haemolyticus,1
Bacteroides fragilis | Corynebacterium amycolatum | Enterococcus avium | Escherichia coli,1
Corynebacterium macginleyi | Proteus mirabilis | Stenotrophomonas maltophilia,1
Escherichia coli | Pseudomonas aeruginosa | Yeast,1
Escherichia coli | Pseudomonas species | Streptococcus constellatus,1
"Alpha-haemolytic streptococcus | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Flavobacterium species | Neisseria species | Staphylococcus, coagulase negative | Streptococcus, viridans group",1
Enterobacter cloacae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas species | Staphylococcus aureus,1
Candida glabrata | Candida tropicalis | Enterococcus faecium | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,1
Candida albicans | Klebsiella species | Streptococcus anginosus,1
Citrobacter freundii complex | Klebsiella species | Pseudomonas aeruginosa,1
