Organism,Count,Year
Aeromonas species,8,2008
Enterococcus avium,8,2008
Streptococcus constellatus,8,2008
Aeromonas hydrophila,7,2008
Corynebacterium jeikeium,7,2008
Clostridium perfringens,7,2008
Streptococcus anginosus,6,2008
Citrobacter koseri,6,2008
Clostridium species,6,2008
Anaerobic Gram-positive cocci,5,2008
Micrococcus species,5,2008
"Mycobacterium, non-TB",5,2008
Anaerobic Gram-positive bacilli,5,2008
Proteus vulgaris,5,2008
Haemophilus parainfluenzae,5,2008
Candida guilliermondii,5,2008
Sphingomonas paucimobilis,4,2008
Fusarium species,4,2008
Salmonella group D,4,2008
Aeromonas sobria,4,2008
Aspergillus species,4,2008
Moraxella species,4,2008
Saccharomyces cerevisiae,4,2008
Candida lusitaniae,4,2008
Aggregatibacter actinomycetemcomitans,4,2008
Lactobacillus,4,2008
Streptococcus species,4,2008
Staphylococcus haemolyticus,4,2008
Eikenella corrodens,3,2008
Enterococcus gallinarum,3,2008
Nocardia beijingensis,3,2008
Streptococcus mitis group,3,2008
Chryseobacterium indologenes,3,2008
Pluralibacter gergoviae,3,2008
Veillonella species,3,2008
Streptococcus bovis group,3,2008
Talaromyces marneffei,3,2008
Alcaligenes species,3,2008
Staphylococcus capitis,3,2008
Propionibacterium species,3,2008
Pseudomonas putida,3,2008
Flavobacterium species,2,2008
Moraxella catarrhalis,2,2008
Providencia stuartii,2,2008
Haemophilus parahaemolyticus,2,2008
Salmonella Typhi,2,2008
Non-fermentative Gram-negative bacilli,2,2008
Rhodotorula species,2,2008
Streptococcus intermedius,2,2008
Mycobacterium chelonae,2,2008
Granulicatella adiacens,2,2008
Bacteroides thetaiotaomicron,2,2008
Serratia marcescens,2,2008
Prevotella bivia,2,2008
Prevotella species,2,2008
Acinetobacter lwoffii,2,2008
Streptococcus salivarius,2,2008
"Streptococcus, group D",2,2008
Bacteroides uniformis,2,2008
Salmonella group E,2,2008
Staphylococcus hominis,2,2008
Staphylococcus lugdunensis,2,2008
Streptococcus sanguinis,2,2008
Fusobacterium species,2,2008
Mould,2,2008
Achromobacter species,2,2008
Penicillium species,2,2008
Salmonella group C,1,2008
Campylobacter fetus,1,2008
Moraxella osloensis,1,2008
Trichophyton mentagrophytes,1,2008
Peptococcus species,1,2008
Exophiala dermatitidis,1,2008
Shewanella algae,1,2008
Trichosporon species,1,2008
Aspergillus fumigatus,1,2008
Prototheca species,1,2008
Beta-haemolytic streptococcus,1,2008
Pantoea agglomerans,1,2008
Mobiluncus species,1,2008
Anaerobic Gram-negative bacilli,1,2008
Nocardia asiatica,1,2008
Mycobacterium gordonae,1,2008
Clostridium bifermentans,1,2008
Salmonella group B,1,2008
Aeromonas caviae,1,2008
Neisseria subflava,1,2008
Rhodotorula rubra,1,2008
Cupriavidus pauculus,1,2008
"Streptococcus, group C",1,2008
Staphylococcus warneri,1,2008
Anaerobic bacteria,1,2008
Cutibacterium acnes,1,2008
Providencia rettgeri,1,2008
Acinetobacter junii,1,2008
Haemophilus paraphrophilus,1,2008
Kluyvera species,1,2008
Mycobacterium avium complex,1,2008
Staphylococcus species,1,2008
Plesiomonas shigelloides,1,2008
Streptococcus oralis,1,2008
Edwardsiella tarda,1,2008
Prevotella intermedia,1,2008
Actinomyces neuii ss neuii,1,2008
Proteus penneri,1,2008
Actinomyces odontolyticus,1,2008
Nocardia species,1,2008
Peptostreptococcus asaccharolyticus,1,2008
Escherichia coli,450,2009
Candida albicans,368,2009
Acinetobacter species,210,2009
Klebsiella species,190,2009
Pseudomonas aeruginosa,185,2009
Methicillin resistant Staphylococcus aureus,166,2009
"Staphylococcus, coagulase negative",149,2009
Enterococcus species,147,2009
Yeast,132,2009
Stenotrophomonas maltophilia,129,2009
Klebsiella pneumoniae,76,2009
Staphylococcus aureus,73,2009
Mycobacterium tuberculosis,56,2009
Enterobacter species,44,2009
Candida species,37,2009
Bacillus species,32,2009
Coliform bacteria,23,2009
Candida tropicalis,23,2009
Bacteroides species,19,2009
Acinetobacter baumannii,18,2009
Gram-negative bacilli,17,2009
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,17,2009
Candida parapsilosis,17,2009
Morganella morganii,15,2009
Candida glabrata,14,2009
Diphtheroids,13,2009
Streptococcus milleri group,12,2009
Aeromonas species,12,2009
Proteus mirabilis,12,2009
Proteus species,11,2009
Pseudomonas species,10,2009
Enterococcus faecium,10,2009
Pichia kudriavzevii,9,2009
Vibrio vulnificus,8,2009
Enterobacter cloacae,8,2009
Anaerobic Gram-positive bacilli,8,2009
Haemophilus influenzae,7,2009
Staphylococcus species,7,2009
Citrobacter species,7,2009
Anaerobic Gram-positive cocci,7,2009
Non-haemolytic streptococcus,7,2009
Salmonella Typhi,7,2009
Staphylococcus epidermidis,7,2009
Corynebacterium striatum,7,2009
Mycobacterium species,7,2009
Prevotella melaninogenica,7,2009
Streptococcus pneumoniae,7,2009
Peptostreptococcus species,6,2009
Bacteroides fragilis,6,2009
Aspergillus species,6,2009
Enterococcus faecalis,6,2009
Clostridium perfringens,5,2009
Streptococcus pyogenes,5,2009
Trichosporon asahii,5,2009
"Streptococcus, group G",5,2009
Serratia species,5,2009
Klebsiella aerogenes,5,2009
Streptococcus species,4,2009
Proteus vulgaris,4,2009
Fusarium species,4,2009
Aspergillus fumigatus,4,2009
Klebsiella oxytoca,4,2009
Streptococcus agalactiae,4,2009
Prevotella bivia,3,2009
Alpha-haemolytic streptococcus,3,2009
Clostridium species,3,2009
Clostridium cadaveris,2,2009
Aeromonas sobria,2,2009
Salmonella Enteritidis,2,2009
Streptococcus bovis group,2,2009
Ralstonia mannitolilytica,2,2009
Aeromonas hydrophila,2,2009
Streptococcus constellatus,2,2009
Corynebacterium urealyticum,2,2009
Citrobacter freundii,2,2009
Propionibacterium species,2,2009
Flavobacterium species,2,2009
Pseudomonas stutzeri,2,2009
Clostridioides difficile,2,2009
Citrobacter koseri,2,2009
Streptococcus oralis,2,2009
Vibrio fluvialis,2,2009
Prevotella species,2,2009
Enterococcus gallinarum,2,2009
Bacteroides thetaiotaomicron,1,2009
Saccharomyces species,1,2009
Eggerthella lenta,1,2009
Providencia species,1,2009
Achromobacter xylosoxidans,1,2009
Lactobacillus species,1,2009
Actinomyces turicensis,1,2009
Gram-positive cocci,1,2009
Providencia rettgeri,1,2009
Micrococcus species,1,2009
Elizabethkingia meningoseptica,1,2009
Kluyvera species,1,2009
Corynebacterium macginleyi,1,2009
Kodamaea ohmeri,1,2009
Bifidobacterium species,1,2009
Lactobacillus,1,2009
Cutibacterium acnes,1,2009
Streptococcus parasanguinis,1,2009
Corynebacterium jeikeium,1,2009
Sphingobacterium species,1,2009
Rhizopus species,1,2009
Candida famata,1,2009
Salmonella group B,1,2009
Acinetobacter junii,1,2009
Haemophilus parainfluenzae,1,2009
Anaerobic bacteria,1,2009
Streptococcus intermedius,1,2009
Trichophyton species,1,2009
Candida guilliermondii,1,2009
Anaerobic Gram-negative bacilli,1,2009
Veillonella species,1,2009
Corynebacterium species,1,2009
Candida albicans,876,2012
Escherichia coli,817,2012
Pseudomonas aeruginosa,702,2012
"Staphylococcus, coagulase negative",388,2012
Klebsiella species,382,2012
Methicillin resistant Staphylococcus aureus,341,2012
Enterococcus species,306,2012
Acinetobacter species,293,2012
Stenotrophomonas maltophilia,225,2012
Acinetobacter baumannii,207,2012
Klebsiella pneumoniae,182,2012
Candida species,175,2012
Yeast,171,2012
Staphylococcus aureus,171,2012
Enterobacter species,120,2012
Diphtheroids,100,2012
Candida parapsilosis,82,2012
Proteus species,58,2012
Candida tropicalis,54,2012
Proteus mirabilis,50,2012
Coliform bacteria,50,2012
Enterococcus faecium,49,2012
Bacillus species,48,2012
Candida glabrata,44,2012
Alpha-haemolytic streptococcus,42,2012
Pseudomonas species,41,2012
Klebsiella aerogenes,34,2012
Bacteroides fragilis group,32,2012
Gram-negative bacilli,31,2012
Mycobacterium tuberculosis,31,2012
Serratia marcescens,30,2012
Aeromonas species,30,2012
Enterobacter cloacae,30,2012
Mycobacterium species,28,2012
Morganella morganii,24,2012
Anaerobic Gram-negative bacilli,24,2012
Serratia species,23,2012
Clostridioides difficile,22,2012
Enterococcus faecalis,22,2012
Neisseria species,22,2012
Streptococcus pneumoniae,21,2012
Streptococcus milleri group,21,2012
Streptococcus agalactiae,18,2012
Citrobacter species,18,2012
Bacteroides fragilis,17,2012
Non-haemolytic streptococcus,16,2012
Streptococcus constellatus,16,2012
Vibrio vulnificus,16,2012
Streptococcus pyogenes,15,2012
Corynebacterium species,15,2012
Klebsiella oxytoca,15,2012
Haemophilus influenzae,14,2012
Burkholderia cepacia,14,2012
Aspergillus fumigatus,13,2012
Clostridium perfringens,13,2012
Corynebacterium striatum,12,2012
"Streptococcus, viridans group",12,2012
Anaerobic Gram-positive cocci,12,2012
Elizabethkingia meningoseptica,11,2012
"Streptococcus, group G",10,2012
Achromobacter xylosoxidans,10,2012
Rothia mucilaginosa,9,2012
Providencia species,9,2012
Lactobacillus species,9,2012
Peptostreptococcus species,9,2012
Bacteroides species,9,2012
Staphylococcus epidermidis,9,2012
Aeromonas hydrophila,9,2012
Staphylococcus haemolyticus,9,2012
Streptococcus anginosus,8,2012
Mycobacterium abscessus,8,2012
Salmonella group D,8,2012
Enterococcus gallinarum,8,2012
Pichia kudriavzevii,7,2012
Aspergillus species,7,2012
Aspergillus flavus,7,2012
Streptococcus mitis,7,2012
Citrobacter freundii,6,2012
Staphylococcus species,6,2012
Chryseobacterium indologenes,6,2012
Acinetobacter junii,5,2012
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,5,2012
Streptococcus species,5,2012
Micrococcus species,5,2012
Candida guilliermondii,5,2012
Enterococcus avium,4,2012
Citrobacter koseri,4,2012
Fusobacterium mortiferum,4,2012
Salmonella Enteritidis,4,2012
Rhodotorula species,4,2012
Capnocytophaga species,4,2012
Streptococcus mitis group,4,2012
Clostridium species,4,2012
Flavobacterium species,4,2012
Trichosporon mucoides,4,2012
Gram-positive cocci,3,2012
Trichosporon species,3,2012
Fusobacterium species,3,2012
Trichophyton rubrum,3,2012
Proteus vulgaris,3,2012
Chryseobacterium gleum,3,2012
Corynebacterium urealyticum,3,2012
Moraxella catarrhalis,3,2012
Propionibacterium species,3,2012
Alcaligenes species,2,2012
Streptococcus gallolyticus subspecies pasteurianus,2,2012
Salmonella group B,2,2012
Achromobacter species,2,2012
Enterococcus casseliflavus,2,2012
Anaerobic Gram-positive bacilli,2,2012
Chaetomium species,2,2012
Staphylococcus lugdunensis,2,2012
Parabacteroides distasonis,2,2012
Streptococcus dysgalactiae subsp. equisimilis,2,2012
Non-fermentative Gram-negative bacilli,2,2012
Gram-positive coccobacilli,2,2012
Gram-positive bacilli,1,2012
Achromobacter denitrificans,1,2012
Citrobacter braakii,1,2012
Providencia rettgeri,1,2012
Bacteroides eggerthii,1,2012
Prevotella bivia,1,2012
Nocardia species,1,2012
Ochrobactrum anthropi,1,2012
Pantoea species,1,2012
Clostridium hathewayi,1,2012
Campylobacter species,1,2012
Bifidobacterium species,1,2012
Moraxella species,1,2012
Chryseobacterium species,1,2012
Candida lusitaniae,1,2012
Veillonella species,1,2012
Pseudomonas fluorescens,1,2012
Haemophilus parahaemolyticus,1,2012
Streptococcus salivarius,1,2012
Malassezia species,1,2012
Cutibacterium acnes,1,2012
Leuconostoc species,1,2012
Campylobacter jejuni subsp. Jejuni,1,2012
Streptococcus bovis group,1,2012
Haemophilus parainfluenzae,1,2012
Staphylococcus capitis,1,2012
Providencia stuartii,1,2012
Propionimicrobium lymphophilum,1,2012
Campylobacter jejuni,1,2012
Streptococcus infantarius subspecies infantarius,1,2012
Streptococcus parasanguinis,1,2012
Aeromonas caviae,1,2012
Staphylococcus lentus,1,2012
Prevotella species,1,2012
Eubacterium species,1,2012
Gram-positive cocci in clusters,1,2012
Gemella species,1,2012
Delftia acidovorans,1,2012
Escherichia coli,1043,2013
Candida albicans,889,2013
Pseudomonas aeruginosa,649,2013
Enterococcus species,506,2013
Klebsiella species,493,2013
"Staphylococcus, coagulase negative",480,2013
Candida species,416,2013
Methicillin resistant Staphylococcus aureus,375,2013
Stenotrophomonas maltophilia,347,2013
Acinetobacter species,306,2013
Klebsiella pneumoniae,282,2013
Acinetobacter baumannii,223,2013
Staphylococcus aureus,162,2013
Yeast,155,2013
Enterococcus faecium,139,2013
Candida tropicalis,133,2013
Diphtheroids,118,2013
Enterobacter species,103,2013
Alpha-haemolytic streptococcus,102,2013
Candida glabrata,84,2013
Enterococcus faecalis,76,2013
Candida parapsilosis,75,2013
Proteus species,72,2013
Bacillus species,65,2013
Neisseria species,64,2013
Proteus mirabilis,53,2013
Citrobacter species,45,2013
Clostridioides difficile,43,2013
Bacteroides fragilis,43,2013
Coliform bacteria,38,2013
Mycobacterium species,36,2013
Streptococcus milleri group,33,2013
Bacteroides fragilis group,32,2013
Mycobacterium tuberculosis,32,2013
Klebsiella aerogenes,31,2013
Serratia marcescens,29,2013
Morganella morganii,28,2013
Streptococcus pneumoniae,28,2013
Anaerobic Gram-negative bacilli,25,2013
Vibrio vulnificus,24,2013
Enterobacter cloacae,24,2013
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,23,2013
Pseudomonas species,23,2013
Gram-negative bacilli,23,2013
Streptococcus agalactiae,23,2013
Rothia mucilaginosa,22,2013
Trichosporon species,22,2013
Non-haemolytic streptococcus,22,2013
Corynebacterium striatum,20,2013
Bacteroides species,19,2013
Burkholderia cepacia,19,2013
Streptococcus pyogenes,19,2013
Streptococcus bovis group,18,2013
Aeromonas species,18,2013
"Streptococcus, group G",16,2013
Clostridium perfringens,15,2013
Staphylococcus epidermidis,15,2013
Streptococcus anginosus,14,2013
Klebsiella oxytoca,14,2013
Aspergillus fumigatus,14,2013
Aspergillus flavus,14,2013
Serratia species,14,2013
Haemophilus influenzae,13,2013
Aeromonas hydrophila,13,2013
Lactobacillus species,13,2013
"Streptococcus, viridans group",12,2013
Citrobacter koseri,11,2013
Streptococcus dysgalactiae subsp. equisimilis,11,2013
Flavobacterium species,10,2013
Eggerthella lenta,10,2013
Cryptococcus neoformans,10,2013
Salmonella group D,9,2013
Corynebacterium jeikeium,8,2013
Achromobacter xylosoxidans,8,2013
Anaerobic Gram-positive cocci,8,2013
Candida lusitaniae,8,2013
Elizabethkingia meningoseptica,8,2013
Enterococcus avium,8,2013
Burkholderia species,7,2013
Streptococcus mitis,7,2013
Prevotella species,7,2013
Cutibacterium acnes,7,2013
Haemophilus parainfluenzae,6,2013
Citrobacter freundii,6,2013
Aspergillus species,6,2013
Enterococcus gallinarum,6,2013
Chryseobacterium indologenes,6,2013
Streptococcus constellatus,6,2013
Salmonella Typhi,5,2013
Micrococcus species,5,2013
Salmonella Enteritidis,5,2013
Pichia kudriavzevii,5,2013
Sphingomonas paucimobilis,5,2013
Clostridium species,5,2013
Corynebacterium species,4,2013
Salmonella group C,4,2013
Leuconostoc species,4,2013
Clostridium tertium,4,2013
Peptostreptococcus species,4,2013
Enterococcus casseliflavus,4,2013
Streptococcus species,3,2013
Staphylococcus haemolyticus,3,2013
Mould,3,2013
Candida guilliermondii,3,2013
Aeromonas caviae,2,2013
Gardnerella vaginalis,2,2013
Moraxella catarrhalis,2,2013
Bordetella bronchiseptica,2,2013
Saccharomyces cerevisiae,2,2013
Gram-positive bacilli,2,2013
Burkholderia cepacia complex,2,2013
Veillonella species,2,2013
Staphylococcus capitis,2,2013
Streptococcus intermedius,2,2013
Fusobacterium mortiferum,2,2013
Anaerobic Gram-positive bacilli,2,2013
Enterobacter cloacae complex,2,2013
Bacteroides thetaiotaomicron,2,2013
Gram-positive cocci,2,2013
Bacteroides eggerthii,2,2013
Bacteroides vulgatus,2,2013
Parabacteroides distasonis,2,2013
Mycobacterium avium complex,2,2013
Desulfovibrio species,2,2013
Providencia species,2,2013
Streptococcus mitis group,2,2013
Proteus vulgaris,2,2013
Listeria monocytogenes,2,2013
Achromobacter species,2,2013
Anaerobic bacteria,2,2013
Prevotella buccae,2,2013
Moraxella species,2,2013
Haemophilus parahaemolyticus,2,2013
Alcaligenes species,2,2013
Trichophyton rubrum,1,2013
Peptostreptococcus anaerobius,1,2013
Delftia acidovorans,1,2013
Parvimonas micra,1,2013
Actinomyces species,1,2013
Staphylococcus lugdunensis,1,2013
Campylobacter jejuni subsp. Jejuni,1,2013
Mycobacterium abscessus,1,2013
Exophiala species,1,2013
Citrobacter youngae,1,2013
Pseudomonas putida,1,2013
Citrobacter amalonaticus,1,2013
Streptococcus salivarius,1,2013
Pantoea species,1,2013
Gemella species,1,2013
Roseomonas species,1,2013
Candida dubliniensis,1,2013
Fusobacterium varium,1,2013
Trichosporon asahii,1,2013
Enterobacter asburiae,1,2013
Anaerobic Gram-negative cocci,1,2013
Prevotella bivia,1,2013
Streptococcus gallolyticus subspecies pasteurianus,1,2013
Plesiomonas shigelloides,1,2013
Peptostreptococcus asaccharolyticus,1,2013
Fusobacterium species,1,2013
Serratia fonticola,1,2013
Shigella sonnei,1,2013
Mycobacterium fortuitum,1,2013
Aeromonas sobria,1,2013
Providencia stuartii,1,2013
Propionibacterium species,1,2013
Arcanobacterium haemolyticum,1,2013
Streptococcus oralis,1,2013
Rapid growing mycobacteria,1,2013
Candida famata,1,2013
Corynebacterium urealyticum,1,2013
Propionibacterium granulosum,1,2013
Fusobacterium nucleatum,1,2013
Leptotrichia trevisanii,1,2013
Bacteroides ovatus,1,2013
Staphylococcus species,1,2013
Porphyromonas endodontalis,1,2013
Clostridium sporogenes,1,2013
"Vibrio cholerae, non-O1/non-O139",1,2013
Streptococcus iniae,1,2013
Pseudomonas mendocina,1,2013
Enterococcus durans,1,2013
Actinomyces radingae,1,2013
Acinetobacter ursingii,1,2013
Candida norvegensis,1,2013
Eikenella corrodens,1,2013
Malassezia furfur,1,2013
Shewanella algae,1,2013
Rothia species,1,2013
Escherichia coli,1735,2014
Candida albicans,1387,2014
Pseudomonas aeruginosa,1319,2014
Methicillin resistant Staphylococcus aureus,840,2014
Candida species,818,2014
Klebsiella species,727,2014
Enterococcus species,715,2014
"Staphylococcus, coagulase negative",698,2014
Stenotrophomonas maltophilia,682,2014
Acinetobacter species,635,2014
Acinetobacter baumannii,481,2014
Klebsiella pneumoniae,420,2014
Staphylococcus aureus,382,2014
Enterococcus faecium,354,2014
Enterobacter species,286,2014
Yeast,255,2014
Diphtheroids,197,2014
Candida glabrata,182,2014
Alpha-haemolytic streptococcus,160,2014
Candida tropicalis,158,2014
Coliform bacteria,145,2014
Proteus mirabilis,142,2014
Proteus species,138,2014
Candida parapsilosis,136,2014
Bacillus species,107,2014
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,104,2014
Enterococcus faecalis,104,2014
Mycobacterium species,99,2014
Neisseria species,99,2014
Clostridioides difficile,93,2014
Streptococcus pyogenes,89,2014
Corynebacterium striatum,81,2014
Citrobacter species,80,2014
Gram-negative bacilli,80,2014
Mycobacterium tuberculosis,76,2014
Morganella morganii,68,2014
Streptococcus pneumoniae,67,2014
Burkholderia species,60,2014
Streptococcus agalactiae,58,2014
Enterobacter cloacae,52,2014
Rothia mucilaginosa,46,2014
Streptococcus milleri group,40,2014
Pseudomonas species,38,2014
Klebsiella aerogenes,38,2014
Bacteroides fragilis group,37,2014
Anaerobic Gram-negative bacilli,36,2014
Haemophilus influenzae,33,2014
Staphylococcus epidermidis,33,2014
Lactobacillus species,32,2014
Non-haemolytic streptococcus,31,2014
"Streptococcus, viridans group",30,2014
Pichia kudriavzevii,28,2014
Bacteroides fragilis,26,2014
Aspergillus species,24,2014
Trichosporon species,24,2014
"Streptococcus, group G",23,2014
Streptococcus constellatus,22,2014
Aeromonas species,21,2014
Aspergillus fumigatus,20,2014
Serratia species,20,2014
Salmonella group D,19,2014
Clostridium perfringens,19,2014
Burkholderia cepacia,19,2014
Flavobacterium species,18,2014
Serratia marcescens,18,2014
Klebsiella oxytoca,17,2014
Bacteroides species,16,2014
Enterococcus gallinarum,15,2014
Achromobacter species,15,2014
Staphylococcus species,14,2014
Micrococcus species,14,2014
Chryseobacterium indologenes,13,2014
Corynebacterium species,13,2014
Streptococcus anginosus,12,2014
Sphingomonas paucimobilis,12,2014
Streptococcus species,12,2014
Staphylococcus capitis,12,2014
Candida lusitaniae,12,2014
Vibrio vulnificus,12,2014
Aspergillus flavus,11,2014
Anaerobic Gram-positive bacilli,11,2014
Staphylococcus haemolyticus,11,2014
Anaerobic Gram-positive cocci,10,2014
Cryptococcus neoformans,10,2014
Peptostreptococcus species,10,2014
Enterococcus avium,10,2014
Aeromonas caviae,8,2014
Gram-positive bacilli,8,2014
Moraxella catarrhalis,8,2014
Streptococcus dysgalactiae subsp. equisimilis,8,2014
Streptococcus bovis group,7,2014
Corynebacterium urealyticum,7,2014
Elizabethkingia meningoseptica,7,2014
Proteus vulgaris,7,2014
Ralstonia mannitolilytica,6,2014
Gram-positive cocci,6,2014
Enterococcus casseliflavus,6,2014
Clostridium species,6,2014
Vibrio parahaemolyticus,6,2014
Mycobacterium avium complex,6,2014
Haemophilus parainfluenzae,6,2014
Micrococcus luteus,5,2014
Enterobacter cloacae complex,5,2014
Corynebacterium minutissimum,5,2014
Eggerthella lenta,5,2014
Anaerobic Gram-negative cocci,5,2014
Providencia species,5,2014
Streptococcus mitis group,5,2014
Arcanobacterium haemolyticum,5,2014
Streptococcus mitis,5,2014
Moraxella species,4,2014
Aeromonas hydrophila,4,2014
Actinomyces species,4,2014
Anaerobic bacteria,4,2014
Eikenella corrodens,4,2014
Prevotella bivia,4,2014
Salmonella group B,4,2014
Pseudomonas putida,4,2014
Fusobacterium varium,4,2014
Staphylococcus lugdunensis,4,2014
Candida guilliermondii,4,2014
Citrobacter freundii,4,2014
Burkholderia cepacia complex,4,2014
Streptococcus oralis,4,2014
Mycobacterium kansasii,4,2014
Bacteroides thetaiotaomicron,4,2014
Raoultella planticola,3,2014
Salmonella Enteritidis,3,2014
Cutibacterium acnes,3,2014
Saccharomyces cerevisiae,3,2014
Trichosporon asahii,3,2014
Cupriavidus species,3,2014
Absidia corymbifera,3,2014
Helcococcus kunzii,3,2014
Achromobacter xylosoxidans,3,2014
Parvimonas micra,3,2014
Salmonella group C,3,2014
Aspergillus niger,3,2014
Aspergillus terreus,3,2014
Fusobacterium species,3,2014
Talaromyces marneffei,3,2014
Kluyveromyces marxianus,3,2014
Corynebacterium jeikeium,3,2014
Leuconostoc species,3,2014
Trichophyton rubrum,3,2014
Shewanella algae,3,2014
Malassezia furfur,3,2014
Aeromonas sobria,2,2014
Trichosporon mucoides,2,2014
Sphingomonas species,2,2014
Bacteroides caccae,2,2014
Bacteroides ovatus,2,2014
Elizabethkingia species,2,2014
Alcaligenes faecalis,2,2014
Salmonella Paratyphi A,2,2014
Citrobacter koseri,2,2014
Mycobacterium mageritense,2,2014
Salmonella Typhi,2,2014
Streptococcus suis,2,2014
Bacteroides eggerthii,2,2014
Abiotrophia defectiva,2,2014
Bacteroides vulgatus,2,2014
"Streptococcus, group C",2,2014
Citrobacter braakii,2,2014
Streptococcus gordonii,2,2014
Pseudomonas fluorescens,2,2014
Haemophilus parahaemolyticus,2,2014
Propionibacterium species,2,2014
Veillonella species,2,2014
Nocardia species,2,2014
Providencia stuartii,2,2014
Enterococcus raffinosus,2,2014
Rhodotorula species,2,2014
Acinetobacter baumannii group,2,2014
Mycobacterium abscessus,2,2014
Streptococcus salivarius,2,2014
Staphylococcus warneri,2,2014
Streptococcus sanguinis,2,2014
Candida dubliniensis,1,2014
Prevotella loescheii,1,2014
Rhizomucor species,1,2014
Ochrobactrum anthropi,1,2014
Graphium species,1,2014
Prevotella melaninogenica,1,2014
Clostridium ramosum,1,2014
Bacteroides uniformis,1,2014
Clostridium innocuum,1,2014
Clostridium sporogenes,1,2014
Raoultella ornithinolytica,1,2014
Enterocloster clostridioformis,1,2014
Actinobaculum schaalii,1,2014
Proteus penneri,1,2014
Gleimia europaea,1,2014
Gemella species,1,2014
Clostridium disporicum,1,2014
Rothia species,1,2014
Aeromonas veronii,1,2014
Helcococcus ovis,1,2014
Actinomyces odontolyticus,1,2014
Clostridium bifermentans,1,2014
Eubacterium species,1,2014
Staphylococcus cohnii,1,2014
Peptostreptococcus micros,1,2014
Corynebacterium amycolatum,1,2014
Dermabacter hominis,1,2014
Granulicatella adiacens,1,2014
Neisseria meningitidis,1,2014
Citrobacter youngae,1,2014
Streptococcus intermedius,1,2014
Solobacterium moorei,1,2014
Streptococcus gallolyticus subspecies pasteurianus,1,2014
Fusobacterium mortiferum,1,2014
Corynebacterium propinquum,1,2014
Eubacterium limosum,1,2014
Acinetobacter junii,1,2014
Blautia producta,1,2014
Staphylococcus saccharolyticus,1,2014
Campylobacter species,1,2014
Mycobacterium tuberculosis complex,1,2014
Aspergillus nidulans,1,2014
Non-fermentative Gram-negative bacilli,1,2014
Chryseobacterium species,1,2014
Hafnia alvei,1,2014
Saccharomyces species,1,2014
Aerococcus species,1,2014
Mould,1,2014
Haemophilus species,1,2014
Peptostreptococcus anaerobius,1,2014
Sphingobacterium species,1,2014
Capnocytophaga species,1,2014
Malassezia pachydermatis,1,2014
Prevotella species,1,2014
Mycobacterium chelonae,1,2014
Listeria monocytogenes,1,2014
Pasteurella multocida,1,2014
Actinomyces turicensis,1,2014
Escherichia coli,2120,2015
Candida albicans,1806,2015
Pseudomonas aeruginosa,1307,2015
Methicillin resistant Staphylococcus aureus,1025,2015
Klebsiella pneumoniae,834,2015
Stenotrophomonas maltophilia,786,2015
"Staphylococcus, coagulase negative",777,2015
Klebsiella species,775,2015
Candida species,744,2015
Enterococcus species,708,2015
Staphylococcus aureus,449,2015
Candida glabrata,349,2015
Yeast,347,2015
Acinetobacter species,326,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex,273,2015
Enterococcus faecium,265,2015
Enterobacter species,257,2015
Candida tropicalis,238,2015
Acinetobacter baumannii,210,2015
Candida parapsilosis,208,2015
Diphtheroids,195,2015
Proteus mirabilis,184,2015
Enterococcus faecalis,166,2015
Alpha-haemolytic streptococcus,145,2015
Gram-negative bacilli,132,2015
Bacillus species,128,2015
Clostridioides difficile,123,2015
Corynebacterium striatum,116,2015
Proteus species,109,2015
Coliform bacteria,95,2015
Neisseria species,87,2015
Streptococcus pneumoniae,75,2015
Mycobacterium tuberculosis,75,2015
Bacteroides fragilis group,69,2015
Citrobacter species,67,2015
Rothia mucilaginosa,65,2015
Morganella morganii,64,2015
Enterobacter cloacae complex,58,2015
Aeromonas species,58,2015
Serratia marcescens,55,2015
Serratia species,54,2015
Bacteroides species,50,2015
Trichosporon asahii,49,2015
Pichia kudriavzevii,49,2015
Streptococcus milleri group,47,2015
Haemophilus influenzae,46,2015
Streptococcus pyogenes,45,2015
Mycobacterium species,44,2015
Klebsiella aerogenes,43,2015
Trichosporon species,41,2015
Elizabethkingia meningoseptica,35,2015
Streptococcus agalactiae,35,2015
Clostridium perfringens,34,2015
"Streptococcus, viridans group",33,2015
Pseudomonas species,33,2015
Gram-positive bacilli,33,2015
Bacteroides fragilis,33,2015
"Streptococcus, group G",32,2015
Enterobacter cloacae,30,2015
Klebsiella oxytoca,30,2015
Lactobacillus species,29,2015
Streptococcus anginosus,28,2015
Burkholderia cepacia,26,2015
Corynebacterium species,25,2015
Salmonella group D,24,2015
Candida lusitaniae,22,2015
Vibrio vulnificus,22,2015
Anaerobic Gram-negative bacilli,22,2015
Salmonella group B,22,2015
Talaromyces marneffei,21,2015
Citrobacter koseri,21,2015
Streptococcus constellatus,20,2015
Micrococcus species,18,2015
Aspergillus fumigatus,18,2015
Prevotella species,18,2015
Citrobacter freundii,17,2015
Staphylococcus epidermidis,16,2015
Cryptococcus neoformans,16,2015
Achromobacter xylosoxidans,14,2015
