Organism_Combination,Count,Year
Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species,1,2015
"Clostridioides difficile | Coliform bacteria | Enterococcus species | Gram-negative bacilli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus, group G",1,2015
Candida tropicalis | Klebsiella pneumoniae,1,2015
Candida albicans | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2015
Candida albicans | Klebsiella aerogenes | Streptococcus pneumoniae,1,2015
"Acinetobacter baumannii | Alpha-haemolytic streptococcus | Candida albicans | Candida species | Enterococcus species | Escherichia coli | Neisseria species | Staphylococcus aureus | Staphylococcus, coagulase negative",1,2015
Bacteroides fragilis | Corynebacterium tuberculostearicum | Pseudomonas aeruginosa | Staphylococcus caprae | Staphylococcus epidermidis | Stenotrophomonas maltophilia | Streptococcus dysgalactiae subsp. equisimilis,1,2015
Aeromonas species | Enterococcus casseliflavus | Escherichia coli,1,2015
"Candida species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2015
Candida species | Clostridium perfringens | Enterococcus hirae | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,1,2015
Bacteroides fragilis group | Enterococcus faecalis | Enterococcus faecium | Escherichia coli,1,2015
Candida species | Clostridioides difficile | Escherichia coli | Klebsiella pneumoniae,1,2015
Clostridium perfringens | Klebsiella oxytoca | Peptostreptococcus species | Salmonella group B,1,2015
Streptococcus dysgalactiae subsp. equisimilis,1,2015
Candida species | Enterococcus species | Klebsiella pneumoniae | Serratia marcescens | Serratia species,1,2015
Acinetobacter species | Bacillus species | Citrobacter species | Elizabethkingia meningoseptica | Enterococcus species | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Micrococcus species | Mycobacterium fortuitum complex | Pseudomonas aeruginosa | Rapid growing mycobacteria | Serratia marcescens | Stenotrophomonas maltophilia | Yeast,1,2015
Aerococcus species | Candida species | Clostridium perfringens | Corynebacterium striatum | Escherichia coli | Streptococcus milleri group,1,2015
Enterobacter species | Escherichia coli | Pseudomonas aeruginosa,1,2015
Candida albicans | Citrobacter koseri | Methicillin resistant Staphylococcus aureus | Proteus species,1,2015
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Burkholderia species | Candida albicans | Candida species | Corynebacterium striatum | Diphtheroids | Enterococcus species | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
Candida albicans | Candida species | Enterobacter cloacae complex | Enterobacter species | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2015
Candida albicans | Streptococcus pyogenes,1,2015
Achromobacter species | Candida albicans | Corynebacterium striatum | Pseudomonas aeruginosa,1,2015
"Candida parapsilosis | Flavobacterium species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Trichosporon species",1,2015
Klebsiella pneumoniae | Serratia species | Staphylococcus aureus,1,2015
Candida albicans | Candida glabrata | Candida species | Klebsiella species,1,2015
"Candida species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1,2015
"Klebsiella pneumoniae | Klebsiella species | Staphylococcus, coagulase negative",1,2015
Candida albicans | Candida species | Clostridioides difficile | Enterococcus faecium | Enterococcus species | Escherichia coli | Proteus mirabilis | Pseudomonas aeruginosa,1,2015
Aspergillus fumigatus,1,2015
Bacillus species | Candida albicans | Candida species | Clostridioides difficile | Pseudomonas aeruginosa,1,2015
Clostridioides difficile | Enterococcus gallinarum | Enterococcus species | Klebsiella species | Pseudomonas aeruginosa,1,2015
"Candida albicans | Enterobacter species | Enterococcus species | Escherichia coli | Klebsiella species | Staphylococcus, coagulase negative | Streptococcus anginosus",1,2015
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus species | Candida albicans | Cryptococcus neoformans | Cryptococcus species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
"Bacteroides fragilis | Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2015
Clostridium perfringens | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Morganella morganii,1,2015
Candida albicans | Enterococcus species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1,2015
Bacillus species | Candida glabrata | Candida parapsilosis | Candida species | Enterococcus species | Escherichia coli | Klebsiella species,1,2015
Bacteroides fragilis group | Pseudomonas aeruginosa | Streptococcus milleri group,1,2015
Candida albicans | Candida species | Corynebacterium species | Escherichia coli | Pseudomonas aeruginosa,1,2015
"Acinetobacter species | Candida albicans | Corynebacterium striatum | Escherichia coli | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
Candida albicans | Candida species | Enterococcus species | Escherichia coli | Pseudomonas aeruginosa | Salmonella group B | Salmonella species | Trichosporon species,1,2015
"Candida albicans | Klebsiella pneumoniae | Staphylococcus, coagulase negative",1,2015
Acinetobacter species | Escherichia coli,1,2015
Bacteroides stercoris | Candida species | Corynebacterium species | Klebsiella species | Lactobacillus gasseri | Methicillin resistant Staphylococcus aureus,1,2015
Candida albicans | Candida species | Elizabethkingia meningoseptica | Enterococcus species | Escherichia coli | Pseudomonas aeruginosa,1,2015
Enterobacter cloacae | Klebsiella pneumoniae,1,2015
Enterobacter cloacae | Enterobacter species | Klebsiella pneumoniae | Stenotrophomonas maltophilia | Yeast,1,2015
Aspergillus species | Candida tropicalis | Escherichia coli | Pseudomonas aeruginosa | Yeast,1,2015
"Acinetobacter species | Diphtheroids | Enterococcus faecium | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Streptococcus, group G | Yeast",1,2015
Enterobacter species | Staphylococcus aureus | Yeast,1,2015
Candida parapsilosis | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Rothia mucilaginosa | Staphylococcus aureus | Streptococcus parasanguinis | Streptococcus salivarius,1,2015
"Candida parapsilosis | Enterococcus species | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Yeast",1,2015
"Candida albicans | Staphylococcus, coagulase negative | Yeast",1,2015
Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1,2015
Candida tropicalis | Citrobacter freundii | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,1,2015
Bacteroides fragilis | Bacteroides fragilis group | Candida albicans | Citrobacter freundii | Citrobacter species | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus,1,2015
Acinetobacter species | Coliform bacteria | Escherichia coli | Gram-negative bacilli | Pseudomonas aeruginosa,1,2015
Candida albicans | Methicillin resistant Staphylococcus aureus | Mycobacterium avium complex | Mycobacterium species,1,2015
Acinetobacter species | Bacillus species | Candida parapsilosis | Enterococcus species | Pseudomonas aeruginosa | Staphylococcus aureus,1,2015
Acinetobacter baumannii | Candida albicans | Enterobacter cloacae complex | Enterococcus faecium | Klebsiella pneumoniae | Morganella morganii | Stenotrophomonas maltophilia,1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida species | Enterococcus faecalis | Klebsiella pneumoniae | Staphylococcus aureus | Streptococcus anginosus | Streptococcus mitis group,1,2015
Anaerobic Gram-positive cocci,1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida species,1,2015
Citrobacter species | Escherichia coli | Non-haemolytic streptococcus,1,2015
"Candida albicans | Enterococcus species | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2015
"Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus pyogenes",1,2015
"Candida albicans | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae,1,2015
Anaerobic Gram-negative bacilli | Corynebacterium striatum | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Klebsiella pneumoniae | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1,2015
Candida species | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Staphylococcus aureus,1,2015
"Bacteroides species | Bacteroides thetaiotaomicron | Escherichia coli | Staphylococcus, coagulase negative",1,2015
Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Providencia stuartii,1,2015
Acinetobacter baumannii | Candida albicans | Pseudomonas aeruginosa,1,2015
Gram-positive bacilli | Staphylococcus aureus,1,2015
Enterococcus faecium | Staphylococcus aureus,1,2015
"Candida albicans | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Streptococcus dysgalactiae subsp. equisimilis | Streptococcus, group C",1,2015
Aspergillus fumigatus | Candida albicans | Escherichia coli | Stenotrophomonas maltophilia,1,2015
Haemophilus influenzae | Staphylococcus aureus | Streptococcus pyogenes,1,2015
"Bacteroides thetaiotaomicron | Candida albicans | Candida tropicalis | Enterobacter species | Enterococcus species | Escherichia coli | Fusobacterium varium | Parabacteroides distasonis | Staphylococcus aureus | Staphylococcus, coagulase negative | Yeast",1,2015
Burkholderia species | Enterococcus species | Proteus mirabilis | Staphylococcus aureus,1,2015
"Candida albicans | Candida species | Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",1,2015
Escherichia coli | Vibrio vulnificus,1,2015
Acinetobacter baumannii | Staphylococcus aureus,1,2015
"Clostridioides difficile | Enterobacter cloacae complex | Escherichia coli | Streptococcus, viridans group",1,2015
Candida albicans | Enterococcus species | Methicillin resistant Staphylococcus aureus | Yeast,1,2015
Bacillus species | Methicillin resistant Staphylococcus aureus,1,2015
Klebsiella pneumoniae | Streptococcus pneumoniae,1,2015
Achromobacter xylosoxidans | Acinetobacter baumannii | Acinetobacter species | Candida albicans | Candida species | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Serratia species | Weissella confusa,1,2015
"Alpha-haemolytic streptococcus | Candida albicans | Candida species | Citrobacter species | Clostridioides difficile | Diphtheroids | Enterobacter species | Enterococcus faecium | Enterococcus species | Escherichia coli | Haemophilus influenzae | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2015
"Acinetobacter species | Candida albicans | Enterococcus species | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Yeast",1,2015
"Candida albicans | Candida tropicalis | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Yeast",1,2015
Aeromonas species | Bacteroides fragilis | Bacteroides species | Candida species | Enterobacter species | Enterococcus species | Escherichia coli | Fusobacterium varium | Klebsiella oxytoca | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia | Streptococcus anginosus | Streptococcus constellatus | Streptococcus milleri group,1,2015
Enterobacter species | Enterococcus species | Escherichia coli | Klebsiella pneumoniae,1,2015
Candida species | Staphylococcus aureus,1,2015
Alpha-haemolytic streptococcus | Bacillus species | Candida albicans | Candida species | Rothia mucilaginosa | Veillonella species,1,2015
Bacteroides fragilis group | Enterobacter species | Escherichia coli | Micrococcus species | Pseudomonas aeruginosa | Streptococcus milleri group,1,2015
"Candida albicans | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
Candida albicans | Haemophilus influenzae,1,2015
Acinetobacter species | Escherichia coli | Moraxella catarrhalis | Staphylococcus aureus,1,2015
Klebsiella species | Staphylococcus aureus,1,2015
Acinetobacter baumannii | Acinetobacter species | Legionella pneumophila,1,2015
Candida albicans | Candida species | Escherichia coli | Proteus mirabilis,1,2015
"Bacteroides fragilis | Candida glabrata | Enterococcus gallinarum | Escherichia coli | Klebsiella species | Parabacteroides distasonis | Staphylococcus, coagulase negative",1,2015
"Acinetobacter species | Citrobacter species | Enterobacter species | Klebsiella species | Pseudomonas stutzeri | Staphylococcus aureus | Staphylococcus, coagulase negative | Yeast",1,2015
"Candida albicans | Coliform bacteria | Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella species | Leuconostoc species | Staphylococcus, coagulase negative",1,2015
"Alpha-haemolytic streptococcus | Staphylococcus, coagulase negative",1,2015
Acinetobacter baumannii | Candida albicans | Enterococcus faecium | Enterococcus species | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus capitis,1,2015
"Acinetobacter species | Candida albicans | Enterobacter species | Escherichia coli | Klebsiella species | Proteus mirabilis | Staphylococcus, coagulase negative | Yeast",1,2015
"Candida albicans | Enterococcus faecium | Staphylococcus, coagulase negative",1,2015
Escherichia coli | Pseudomonas aeruginosa | Streptococcus pneumoniae,1,2015
Bacillus species | Stenotrophomonas maltophilia,1,2015
"Enterobacter species | Enterococcus faecalis | Staphylococcus aureus | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1,2015
"Actinomyces odontolyticus | Bacillus species | Candida albicans | Clostridioides difficile | Enterobacter species | Enterococcus species | Escherichia coli | Granulicatella adiacens | Klebsiella species | Lactobacillus species | Neisseria species | Rothia mucilaginosa | Staphylococcus, coagulase negative",1,2015
Clostridium perfringens | Enterococcus faecalis | Escherichia coli,1,2015
Bacteroides fragilis | Escherichia coli | Streptococcus milleri group,1,2015
Bacteroides fragilis | Bacteroides species | Escherichia coli | Gram-positive bacilli | Streptococcus milleri group,1,2015
Candida glabrata | Candida tropicalis | Citrobacter koseri | Enterococcus faecium,1,2015
"Bacillus species | Escherichia coli | Staphylococcus, coagulase negative",1,2015
"Acinetobacter species | Candida albicans | Klebsiella pneumoniae | Klebsiella species | Staphylococcus, coagulase negative",1,2015
Acinetobacter baumannii | Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Peptostreptococcus anaerobius | Proteus mirabilis | Pseudomonas aeruginosa,1,2015
Candida albicans | Citrobacter species | Klebsiella species | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia,1,2015
Acinetobacter baumannii | Candida albicans | Enterobacter species | Klebsiella species | Stenotrophomonas maltophilia,1,2015
Enterococcus species | Methicillin resistant Staphylococcus aureus,1,2015
Escherichia coli | Salmonella group B,1,2015
"Candida albicans | Enterococcus species | Staphylococcus, coagulase negative",1,2015
Acinetobacter species | Fusobacterium species | Stenotrophomonas maltophilia,1,2015
Acinetobacter species | Staphylococcus aureus,1,2015
Bacteroides fragilis group | Candida species | Corynebacterium urealyticum | Enterobacter species | Enterococcus species | Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus lugdunensis,1,2015
"Alpha-haemolytic streptococcus | Diphtheroids | Enterobacter species | Enterococcus faecalis | Escherichia coli | Klebsiella species | Neisseria species | Proteus species | Pseudomonas species | Rothia mucilaginosa | Staphylococcus lugdunensis | Staphylococcus, coagulase negative | Streptococcus agalactiae",1,2015
Enterococcus gallinarum | Klebsiella pneumoniae | Pseudomonas aeruginosa,1,2015
Escherichia coli | Methicillin resistant Staphylococcus aureus | Streptococcus agalactiae,1,2015
Aeromonas species | Coliform bacteria,1,2015
Actinomyces species | Klebsiella species | Pseudomonas aeruginosa | Staphylococcus aureus,1,2015
"Escherichia coli | Methicillin resistant Staphylococcus aureus | Streptococcus, group G",1,2015
Corynebacterium striatum | Escherichia coli | Streptococcus salivarius,1,2015
Escherichia coli | Klebsiella species | Pseudomonas aeruginosa,1,2015
Candida albicans | Escherichia coli | Stenotrophomonas maltophilia,1,2015
Bacillus species | Candida albicans | Corynebacterium species | Corynebacterium striatum | Enterobacter species | Pseudomonas aeruginosa | Staphylococcus epidermidis,1,2015
"Candida albicans | Candida species | Corynebacterium striatum | Corynebacterium urealyticum | Enterococcus faecium | Enterococcus species | Escherichia coli | Klebsiella species | Non-fermentative Gram-negative bacilli | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus epidermidis | Staphylococcus haemolyticus | Staphylococcus, coagulase negative | Yeast",1,2015
Candida albicans | Citrobacter species | Corynebacterium striatum | Enterococcus species | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1,2015
Bacteroides fragilis | Candida albicans | Stenotrophomonas maltophilia | Streptococcus anginosus,1,2015
Bacillus species | Candida albicans | Candida species,1,2015
Mycobacterium tuberculosis | Staphylococcus aureus,1,2015
Bacteroides fragilis group | Candida albicans | Candida glabrata | Corynebacterium species | Enterococcus species | Escherichia coli | Klebsiella species | Serratia species,1,2015
Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa,1,2015
Acinetobacter species | Enterobacter species | Klebsiella species | Methicillin resistant Staphylococcus aureus,1,2015
"Acinetobacter species | Candida albicans | Diphtheroids | Enterococcus faecium | Enterococcus species | Escherichia coli | Klebsiella species | Staphylococcus, coagulase negative",1,2015
Acinetobacter species | Escherichia coli | Gram-positive cocci | Pseudomonas aeruginosa,1,2015
Burkholderia cepacia | Candida albicans | Klebsiella pneumoniae | Sphingomonas paucimobilis | Yeast,1,2015
Candida albicans | Enterococcus faecalis | Enterococcus species | Haemophilus influenzae,1,2015
Enterococcus species | Escherichia coli | Klebsiella species | Ochrobactrum species,1,2015
Escherichia coli | Klebsiella species | Pseudomonas aeruginosa | Sphingomonas paucimobilis,1,2015
"Bacillus species | Candida albicans | Candida tropicalis | Citrobacter species | Enterobacter species | Enterococcus species | Staphylococcus, coagulase negative | Yeast",1,2015
Klebsiella species | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia | Yeast,1,2015
Enterococcus species | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,1,2015
Clostridium perfringens | Enterobacter species | Escherichia coli | Lactobacillus species,1,2015
"Aspergillus species | Enterobacter species | Enterococcus species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Micrococcus species | Pseudomonas aeruginosa | Staphylococcus lugdunensis | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Streptococcus pneumoniae | Yeast",1,2015
Methicillin resistant Staphylococcus aureus | Serratia marcescens | Stenotrophomonas maltophilia,1,2015
Escherichia coli | Staphylococcus lugdunensis,1,2015
Acinetobacter baumannii | Acinetobacter species | Burkholderia cepacia | Candida albicans | Candida species | Candida tropicalis | Corynebacterium striatum | Escherichia coli | Methicillin resistant Staphylococcus aureus | Mycobacterium species | Mycobacterium tuberculosis | Pseudomonas species,1,2015
"Enterococcus faecium | Staphylococcus aureus | Staphylococcus, coagulase negative",1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus species | Bacteroides fragilis | Bacteroides fragilis group | Bacteroides species | Candida albicans | Corynebacterium jeikeium | Enterococcus faecalis | Peptostreptococcus species | Stenotrophomonas maltophilia,1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Enterococcus faecalis | Klebsiella pneumoniae | Trichosporon asahii,1,2015
Alpha-haemolytic streptococcus | Escherichia coli,1,2015
"Aeromonas veronii biovar sobria | Alpha-haemolytic streptococcus | Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Neisseria species | Rothia mucilaginosa | Staphylococcus, coagulase negative",1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium striatum,1,2015
Klebsiella pneumoniae | Streptococcus anginosus,1,2015
Bacillus species | Vibrio vulnificus,1,2015
Proteus mirabilis | Pseudomonas aeruginosa,1,2015
Corynebacterium striatum | Enterobacter cloacae complex | Klebsiella pneumoniae | Staphylococcus aureus | Stenotrophomonas maltophilia,1,2015
Candida species | Citrobacter freundii | Coliform bacteria | Klebsiella pneumoniae | Klebsiella species | Pichia kudriavzevii | Staphylococcus epidermidis | Weissella confusa,1,2015
"Acinetobacter baumannii | Alpha-haemolytic streptococcus | Candida parapsilosis | Candida species | Diphtheroids | Enterococcus species | Flavobacterium species | Klebsiella species | Neisseria species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2015
Candida species | Candida tropicalis | Enterobacter species | Klebsiella pneumoniae | Klebsiella species | Stenotrophomonas maltophilia,1,2015
"Alpha-haemolytic streptococcus | Bacillus species | Clostridioides difficile | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Neisseria species | Staphylococcus, coagulase negative",1,2015
"Alpha-haemolytic streptococcus | Enterococcus species | Escherichia coli | Neisseria species | Rothia mucilaginosa | Staphylococcus, coagulase negative | Streptococcus, viridans group",1,2015
Candida albicans | Mycobacterium avium complex,1,2015
Candida albicans | Candida species | Enterococcus species | Escherichia coli,1,2015
Candida species | Diphtheroids,1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Aeromonas species | Enterococcus species | Escherichia coli,1,2015
Candida albicans | Diphtheroids | Enterococcus species | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus | Stenotrophomonas maltophilia,1,2015
Acinetobacter species | Klebsiella species,1,2015
Candida glabrata | Clostridium perfringens | Escherichia coli,1,2015
"Bacillus species | Candida parapsilosis | Candida species | Diphtheroids | Enterococcus faecalis | Enterococcus species | Staphylococcus aureus | Staphylococcus, coagulase negative",1,2015
"Bacillus species | Candida glabrata | Enterococcus faecium | Enterococcus species | Staphylococcus, coagulase negative",1,2015
"Acinetobacter species | Enterobacter species | Staphylococcus, coagulase negative",1,2015
"Acinetobacter species | Diphtheroids | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Parabacteroides distasonis | Proteus mirabilis | Proteus vulgaris | Pseudomonas aeruginosa | Streptococcus, group G",1,2015
Candida albicans | Candida tropicalis | Klebsiella pneumoniae | Pseudomonas aeruginosa | Yeast,1,2015
Candida species | Candida tropicalis | Enterococcus faecalis,1,2015
Bacillus species | Candida albicans | Candida species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Non-fermentative Gram-negative bacilli | Pseudomonas aeruginosa | Staphylococcus aureus,1,2015
"Alpha-haemolytic streptococcus | Cryptococcus species | Diphtheroids | Enterococcus species | Escherichia coli | Gram-positive cocci | Klebsiella species | Neisseria species | Rhodotorula species | Staphylococcus aureus | Staphylococcus, coagulase negative",1,2015
Candida tropicalis | Enterococcus faecium,1,2015
Acinetobacter baumannii | Enterococcus species | Stenotrophomonas maltophilia,1,2015
Candida species | Enterobacter cloacae complex,1,2015
Clostridioides difficile | Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Trichosporon asahii,1,2015
"Acinetobacter species | Candida albicans | Candida species | Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella aerogenes | Klebsiella species | Mycobacterium species | Mycobacterium tuberculosis | Staphylococcus haemolyticus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
"Haemophilus influenzae | Staphylococcus, coagulase negative",1,2015
Pseudomonas aeruginosa | Serratia marcescens,1,2015
"Alpha-haemolytic streptococcus | Enterococcus species | Escherichia coli | Klebsiella pneumoniae | Klebsiella species | Rothia mucilaginosa | Staphylococcus, coagulase negative",1,2015
Bacteroides fragilis | Candida albicans | Candida tropicalis | Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pichia kudriavzevii | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1,2015
"Escherichia coli | Klebsiella species | Staphylococcus, coagulase negative",1,2015
"Alpha-haemolytic streptococcus | Candida albicans | Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella oxytoca | Klebsiella species | Neisseria species | Proteus species | Rothia mucilaginosa | Staphylococcus, coagulase negative",1,2015
"Acinetobacter species | Bacillus species | Diphtheroids | Enterobacter species | Escherichia coli | Staphylococcus aureus | Staphylococcus, coagulase negative",1,2015
Bacillus species | Escherichia coli | Morganella morganii | Proteus mirabilis | Yeast,1,2015
Candida species | Pichia kudriavzevii,1,2015
"Candida parapsilosis | Candida species | Enterococcus species | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
Acinetobacter baumannii | Acinetobacter species | Candida glabrata | Enterobacter species | Haemophilus influenzae | Methicillin resistant Staphylococcus aureus | Streptococcus pneumoniae,1,2015
Candida albicans | Candida species | Klebsiella pneumoniae,1,2015
"Acinetobacter species | Candida parapsilosis | Diphtheroids | Escherichia coli | Klebsiella species | Serratia marcescens | Serratia species | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
Candida species | Klebsiella oxytoca | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,1,2015
"Candida albicans | Escherichia coli | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",1,2015
Escherichia coli | Gram-negative bacilli | Gram-positive bacilli | Klebsiella pneumoniae | Peptostreptococcus species | Pichia kudriavzevii | Shewanella species,1,2015
Candida tropicalis | Enterococcus faecium | Streptococcus mitis group,1,2015
Enterobacter species | Pseudomonas aeruginosa,1,2015
Candida albicans | Elizabethkingia meningoseptica | Staphylococcus capitis | Streptococcus pneumoniae,1,2015
"Diphtheroids | Enterococcus species | Escherichia coli | Micrococcus species | Moraxella species | Staphylococcus, coagulase negative",1,2015
Bacillus species | Candida albicans | Citrobacter species | Enterococcus species | Haemophilus influenzae | Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus agalactiae,1,2015
"Bacillus species | Candida glabrata | Candida parapsilosis | Candida species | Cryptococcus neoformans | Elizabethkingia meningoseptica | Enterobacter species | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Yeast",1,2015
Achromobacter xylosoxidans | Candida albicans | Candida tropicalis | Dialister pneumosintes | Enterococcus faecium | Enterococcus species | Klebsiella species | Peptostreptococcus micros | Pseudomonas aeruginosa | Staphylococcus aureus | Yeast,1,2015
Bacillus species | Candida albicans | Candida species | Neisseria species | Scopulariopsis species,1,2015
"Alpha-haemolytic streptococcus | Bacillus species | Clostridioides difficile | Diphtheroids | Enterococcus faecalis | Enterococcus species | Escherichia coli | Gram-positive cocci | Klebsiella species | Morganella morganii | Neisseria species | Proteus species | Rothia mucilaginosa | Staphylococcus, coagulase negative",1,2015
Candida albicans | Diphtheroids | Enterococcus faecium,1,2015
Bacillus species | Escherichia coli | Yeast,1,2015
"Candida albicans | Candida species | Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1,2015
Alpha-haemolytic streptococcus | Candida glabrata | Citrobacter species | Enterococcus species | Klebsiella species,1,2015
"Alpha-haemolytic streptococcus | Candida glabrata | Staphylococcus, coagulase negative",1,2015
"Clostridioides difficile | Diphtheroids | Enterococcus species | Escherichia coli | Klebsiella species | Mould | Neisseria species | Proteus species | Pseudomonas aeruginosa | Rhizopus species | Staphylococcus, coagulase negative",1,2015
Acinetobacter baumannii | Acinetobacter species | Acremonium species | Candida albicans | Pseudomonas aeruginosa | Streptococcus pyogenes,1,2015
Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae,1,2015
Alpha-haemolytic streptococcus | Bacillus species | Clostridioides difficile | Enterobacter species | Enterococcus species | Escherichia coli | Flavobacterium species | Klebsiella pneumoniae | Klebsiella species | Proteus species | Rothia mucilaginosa | Stenotrophomonas maltophilia,1,2015
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida tropicalis | Corynebacterium striatum | Klebsiella aerogenes,1,2015
